"trap_id","zone","zone2","trap_date","year","week","spp","method","trap_status","total"
"FC-069","NE","FC",2019-08-18,2019,33,"Tarsalis","L","culex",63
"FC-072","NE","FC",2019-08-18,2019,34,"Pipiens","L","culex",0
"FC-072","NE","FC",2019-08-18,2019,34,"Tarsalis","L","culex",36
"FC-072","NE","FC",2019-08-18,2019,33,"Tarsalis","L","culex",36
"FC-091GR","NE","FC",2019-08-18,2019,34,"Pipiens","G","culex",18
"FC-091GR","NE","FC",2019-08-18,2019,33,"Pipiens","G","culex",18
"FC-091GR","NE","FC",2019-08-18,2019,34,"Tarsalis","G","culex",0
"FC-092GR","NE","FC",2019-08-18,2019,34,"Pipiens","G","culex",18
"FC-092GR","NE","FC",2019-08-18,2019,33,"Pipiens","G","culex",18
"FC-092GR","NE","FC",2019-08-18,2019,34,"Tarsalis","G","culex",0
"LV-069","LV","LV",2019-08-18,2019,34,"Pipiens","L","culex",2
"LV-069","LV","LV",2019-08-18,2019,33,"Pipiens","L","culex",2
"LV-069","LV","LV",2019-08-18,2019,34,"Tarsalis","L","culex",36
"LV-069","LV","LV",2019-08-18,2019,33,"Tarsalis","L","culex",36
"LV-095","LV","LV",2019-08-18,2019,34,"Pipiens","L","culex",13
"LV-095","LV","LV",2019-08-18,2019,33,"Pipiens","L","culex",13
"LV-095","LV","LV",2019-08-18,2019,34,"Tarsalis","L","culex",43
"LV-095","LV","LV",2019-08-18,2019,33,"Tarsalis","L","culex",43
"FC-001","SW","FC",2019-08-14,2019,33,"Pipiens","L","culex",0
"FC-001","SW","FC",2019-08-14,2019,33,"Tarsalis","L","culex",15
"FC-029","SE","FC",2019-08-14,2019,33,"Pipiens","L","culex",0
"FC-029","SE","FC",2019-08-14,2019,33,"Tarsalis","L","culex",22
"FC-029GR","SE","FC",2019-08-14,2019,33,"Pipiens","G","culex",75
"FC-029GR","SE","FC",2019-08-14,2019,33,"Tarsalis","G","culex",0
"FC-037","SW","FC",2019-08-14,2019,33,"Pipiens","L","culex",2
"FC-037","SW","FC",2019-08-14,2019,33,"Tarsalis","L","culex",147
"FC-054","SE","FC",2019-08-14,2019,33,"Pipiens","L","culex",0
"FC-054","SE","FC",2019-08-14,2019,33,"Tarsalis","L","culex",18
"FC-057","SW","FC",2019-08-14,2019,33,"Pipiens","L","culex",0
"FC-057","SW","FC",2019-08-14,2019,33,"Tarsalis","L","culex",39
"FC-062","SW","FC",2019-08-14,2019,33,"Pipiens","L","culex",0
"FC-062","SW","FC",2019-08-14,2019,33,"Tarsalis","L","culex",10
"FC-068","SW","FC",2019-08-14,2019,33,"Pipiens","L","culex",0
"FC-068","SW","FC",2019-08-14,2019,33,"Tarsalis","L","culex",22
"FC-071","SW","FC",2019-08-14,2019,33,"Pipiens","L","culex",0
"FC-071","SW","FC",2019-08-14,2019,33,"Tarsalis","L","culex",14
"FC-089GR","SW","FC",2019-08-14,2019,33,"Pipiens","G","culex",27
"FC-089GR","SW","FC",2019-08-14,2019,33,"Tarsalis","G","culex",0
"FC-093","SW","FC",2019-08-14,2019,33,"Pipiens","L","culex",4
"FC-093","SW","FC",2019-08-14,2019,33,"Tarsalis","L","culex",34
"LV-114","LV","LV",2019-08-14,2019,33,"Pipiens","L","culex",0
"LV-114","LV","LV",2019-08-14,2019,33,"Tarsalis","L","culex",38
"FC-011","NW","FC",2019-08-13,2019,33,"Pipiens","L","culex",11
"FC-011","NW","FC",2019-08-13,2019,33,"Tarsalis","L","culex",18
"FC-015","NW","FC",2019-08-13,2019,33,"Pipiens","L","culex",27
"FC-015","NW","FC",2019-08-13,2019,33,"Tarsalis","L","culex",27
"FC-041","NW","FC",2019-08-13,2019,33,"Pipiens","L","culex",6
"FC-041","NW","FC",2019-08-13,2019,33,"Tarsalis","L","culex",38
"FC-046","SE","FC",2019-08-13,2019,33,"Pipiens","L","culex",8
"FC-046","SE","FC",2019-08-13,2019,33,"Tarsalis","L","culex",44
"FC-049","NW","FC",2019-08-13,2019,33,"Pipiens","L","culex",0
"FC-049","SW","FC",2019-08-13,2019,33,"Tarsalis","L","culex",11
"FC-049","NW","FC",2019-08-13,2019,33,"Tarsalis","L","culex",11
"FC-052","NW","FC",2019-08-13,2019,33,"Pipiens","L","culex",0
"FC-052","NW","FC",2019-08-13,2019,33,"Tarsalis","L","culex",6
"FC-058","SW","FC",2019-08-13,2019,33,"Pipiens","L","culex",0
"FC-058","SW","FC",2019-08-13,2019,33,"Tarsalis","L","culex",5
"FC-060","SW","FC",2019-08-13,2019,33,"Pipiens","L","culex",17
"FC-060","NW","FC",2019-08-13,2019,33,"Pipiens","L","culex",17
"FC-060","SW","FC",2019-08-13,2019,33,"Tarsalis","L","culex",26
"FC-060","NW","FC",2019-08-13,2019,33,"Tarsalis","L","culex",26
"FC-061","NW","FC",2019-08-13,2019,33,"Pipiens","L","culex",9
"FC-061","NW","FC",2019-08-13,2019,33,"Tarsalis","L","culex",108
"FC-063","NW","FC",2019-08-13,2019,33,"Pipiens","L","culex",3
"FC-063","NW","FC",2019-08-13,2019,33,"Tarsalis","L","culex",16
"FC-063GR","NW","FC",2019-08-13,2019,33,"Pipiens","G","culex",26
"FC-063GR","NW","FC",2019-08-13,2019,33,"Tarsalis","G","culex",0
"FC-073","NW","FC",2019-08-13,2019,33,"Pipiens","L","culex",5
"FC-073","NW","FC",2019-08-13,2019,33,"Tarsalis","L","culex",41
"FC-090GR","NW","FC",2019-08-13,2019,33,"Pipiens","G","culex",33
"FC-090GR","NW","FC",2019-08-13,2019,33,"Tarsalis","G","culex",0
"LC-001","BE","BE",2019-08-13,2019,33,"Pipiens","L","culex",22
"LC-001","BE","BE",2019-08-13,2019,33,"Tarsalis","L","culex",93
"LC-049","BE","BE",2019-08-13,2019,33,"Pipiens","L","culex",3
"LC-049","BE","BE",2019-08-13,2019,33,"Tarsalis","L","culex",65
"LC-053","BE","BE",2019-08-13,2019,33,"Pipiens","L","culex",0
"LC-053","BE","BE",2019-08-13,2019,33,"Tarsalis","L","culex",39
"LC-054","BE","BE",2019-08-13,2019,33,"Pipiens","L","culex",0
"LC-054","BE","BE",2019-08-13,2019,33,"Tarsalis","L","culex",44
"LC-055","BE","BE",2019-08-13,2019,33,"Pipiens","L","culex",0
"LC-055","BE","BE",2019-08-13,2019,33,"Tarsalis","L","culex",11
"LV-020","LV","LV",2019-08-13,2019,33,"Pipiens","L","culex",0
"LV-020","LV","LV",2019-08-13,2019,33,"Tarsalis","L","culex",15
"FC-004","SE","FC",2019-08-12,2019,33,"Pipiens","L","culex",7
"FC-004","SE","FC",2019-08-12,2019,32,"Pipiens","L","culex",7
"FC-004","SE","FC",2019-08-12,2019,33,"Tarsalis","L","culex",118
"FC-004","SE","FC",2019-08-12,2019,32,"Tarsalis","L","culex",118
"FC-023","SE","FC",2019-08-12,2019,33,"Pipiens","L","culex",6
"FC-023","SE","FC",2019-08-12,2019,32,"Pipiens","L","culex",6
"FC-023","SE","FC",2019-08-12,2019,33,"Tarsalis","L","culex",104
"FC-023","SE","FC",2019-08-12,2019,32,"Tarsalis","L","culex",104
"FC-027","SE","FC",2019-08-12,2019,33,"Pipiens","L","culex",25
"FC-027","SE","FC",2019-08-12,2019,32,"Pipiens","L","culex",25
"FC-027","SE","FC",2019-08-12,2019,33,"Tarsalis","L","culex",103
"FC-027","SE","FC",2019-08-12,2019,32,"Tarsalis","L","culex",103
"FC-031","SE","FC",2019-08-12,2019,33,"Pipiens","L","culex",3
"FC-031","SE","FC",2019-08-12,2019,32,"Pipiens","L","culex",3
"FC-031","SE","FC",2019-08-12,2019,33,"Tarsalis","L","culex",162
"FC-031","SE","FC",2019-08-12,2019,32,"Tarsalis","L","culex",162
"FC-039","SE","FC",2019-08-12,2019,33,"Pipiens","L","culex",0
"FC-039","SE","FC",2019-08-12,2019,33,"Tarsalis","L","culex",70
"FC-039","SE","FC",2019-08-12,2019,32,"Tarsalis","L","culex",70
"FC-047","SE","FC",2019-08-12,2019,33,"Pipiens","L","culex",0
"FC-047","SE","FC",2019-08-12,2019,33,"Tarsalis","L","culex",49
"FC-047","SE","FC",2019-08-12,2019,32,"Tarsalis","L","culex",49
"FC-050","SE","FC",2019-08-12,2019,33,"Pipiens","L","culex",69
"FC-050","SE","FC",2019-08-12,2019,32,"Pipiens","L","culex",69
"FC-050","SE","FC",2019-08-12,2019,33,"Tarsalis","L","culex",154
"FC-050","SE","FC",2019-08-12,2019,32,"Tarsalis","L","culex",154
"FC-053","SE","FC",2019-08-12,2019,33,"Pipiens","L","culex",9
"FC-053","SE","FC",2019-08-12,2019,32,"Pipiens","L","culex",9
"FC-053","SE","FC",2019-08-12,2019,33,"Tarsalis","L","culex",375
"FC-053","SE","FC",2019-08-12,2019,32,"Tarsalis","L","culex",375
"FC-059","SE","FC",2019-08-12,2019,33,"Pipiens","L","culex",4
"FC-059","SE","FC",2019-08-12,2019,32,"Pipiens","L","culex",4
"FC-059","SE","FC",2019-08-12,2019,33,"Tarsalis","L","culex",29
"FC-059","SE","FC",2019-08-12,2019,32,"Tarsalis","L","culex",29
"FC-064","SE","FC",2019-08-12,2019,33,"Pipiens","L","culex",3
"FC-064","SE","FC",2019-08-12,2019,32,"Pipiens","L","culex",3
"FC-064","SE","FC",2019-08-12,2019,33,"Tarsalis","L","culex",81
"FC-064","SE","FC",2019-08-12,2019,32,"Tarsalis","L","culex",81
"FC-074","SE","FC",2019-08-12,2019,33,"Pipiens","L","culex",11
"FC-074","SE","FC",2019-08-12,2019,32,"Pipiens","L","culex",11
"FC-074","SE","FC",2019-08-12,2019,33,"Tarsalis","L","culex",169
"FC-074","SE","FC",2019-08-12,2019,32,"Tarsalis","L","culex",169
"FC-075","SE","FC",2019-08-12,2019,33,"Pipiens","L","culex",0
"FC-075","SE","FC",2019-08-12,2019,33,"Tarsalis","L","culex",48
"FC-075","SE","FC",2019-08-12,2019,32,"Tarsalis","L","culex",48
"FC-075GR","SE","FC",2019-08-12,2019,33,"Pipiens","G","culex",16
"FC-075GR","SE","FC",2019-08-12,2019,32,"Pipiens","G","culex",16
"FC-075GR","SE","FC",2019-08-12,2019,33,"Tarsalis","G","culex",0
"FC-088GR","SE","FC",2019-08-12,2019,33,"Pipiens","G","culex",49
"FC-088GR","SE","FC",2019-08-12,2019,32,"Pipiens","G","culex",49
"FC-088GR","SE","FC",2019-08-12,2019,33,"Tarsalis","G","culex",0
"LV-089","LV","LV",2019-08-12,2019,33,"Pipiens","L","culex",0
"LV-089","LV","LV",2019-08-12,2019,33,"Tarsalis","L","culex",18
"LV-089","LV","LV",2019-08-12,2019,32,"Tarsalis","L","culex",18
"LV-104","LV","LV",2019-08-12,2019,33,"Pipiens","L","culex",0
"LV-104","LV","LV",2019-08-12,2019,33,"Tarsalis","L","culex",24
"LV-104","LV","LV",2019-08-12,2019,32,"Tarsalis","L","culex",24
"LV-110","LV","LV",2019-08-12,2019,33,"Pipiens","L","culex",5
"LV-110","LV","LV",2019-08-12,2019,32,"Pipiens","L","culex",5
"LV-110","LV","LV",2019-08-12,2019,33,"Tarsalis","L","culex",19
"LV-110","LV","LV",2019-08-12,2019,32,"Tarsalis","L","culex",19
"FC-006","NE","FC",2019-08-11,2019,33,"Pipiens","L","culex",9
"FC-006","NE","FC",2019-08-11,2019,32,"Pipiens","L","culex",9
"FC-006","NE","FC",2019-08-11,2019,33,"Tarsalis","L","culex",27
"FC-006","NE","FC",2019-08-11,2019,32,"Tarsalis","L","culex",27
"FC-014","NE","FC",2019-08-11,2019,33,"Pipiens","L","culex",31
"FC-014","NE","FC",2019-08-11,2019,32,"Pipiens","L","culex",31
"FC-014","NE","FC",2019-08-11,2019,33,"Tarsalis","L","culex",66
"FC-014","NE","FC",2019-08-11,2019,32,"Tarsalis","L","culex",66
"FC-019","NE","FC",2019-08-11,2019,33,"Pipiens","L","culex",12
"FC-019","NE","FC",2019-08-11,2019,32,"Pipiens","L","culex",12
"FC-019","NE","FC",2019-08-11,2019,33,"Tarsalis","L","culex",41
