"zone","abund_Pipiens","abund_Tarsalis","pir_Pipiens","pir_Tarsalis","vi_Pipiens","vi_Tarsalis","vi_All"
"NW",1.7778,5.7778,0,0,0,0,0
"NE",6.3333,16.6667,0,0,0,0,0
"SE",4.9286,15.8571,0,0,0,0,0
"SW",1.1111,4.1111,0,0,0,0,0
"FC",3.7073,11.2439,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA
"LV",2.1667,31,0,0.0056,0,0.17,0.17
"BE",1.9,10.7,0,0,0,0,0
"BC",2.8696,16.3043,0,0,0,0,0
