"zone","abund_Pipiens","abund_Tarsalis","pir_Pipiens","pir_Tarsalis","vi_Pipiens","vi_Tarsalis","vi_All"
"NW",4.8889,4.8889,0,0.0454,0,0.22,0.19
"NE",22.9,13.5,0.0024,0,0.05,0,0.07
"SE",4.4,12.5333,0.0232,0,0.1,0,0.16
"SW",1.5556,4.7778,0,0,0,0,0
"FC",8.2093,9.5349,0.0064,0.0048,0.05,0.05,0.1
NA,NA,NA,NA,NA,NA,NA,NA
"LV",6.6667,25.3333,0,0,0,0,0
"BE",3.1,12,0,0,0,0,0
"BC",3.0435,4.0435,0,0,0,0,0
