"zone","abund_Pipiens","abund_Tarsalis","pir_Pipiens","pir_Tarsalis","vi_Pipiens","vi_Tarsalis","vi_All"
"NW",3.6667,14.1111,0,0,0,0,0
"NE",4.6667,24.3333,0,0,0,0,0
"SE",2.2857,15.6429,0,0,0,0,0
"SW",4.1111,10.1111,0,0,0,0,0
"FC",3.5122,16,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA
"LV",1.8333,49,0,0,0,0,0
"BE",2.3,25.1,0,0,0,0,0
"BC",4,19.5652,0,0.0035,0,0.07,0.08
