"week","pir_NW","pir_hx_NW","pir_NE","pir_hx_NE","pir_SE","pir_hx_SE","pir_SW","pir_hx_SW","pir_FC","pir_hx_FC","pir_LV","pir_BE","pir_BC"
23,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0"
24,"0",0,"0",0,"0",0,"0",0,"0",0,"0","0","0"
25,"0",0,"0",0,"0",0.78,"0",0,"0",0.48,"0","0","0"
26,"0",3.3,"0",0,"0",0.64,"0",0,"0",0.5,"0","0","0"
27,"0",0,"0",0.34,"0",0.64,"0",0.36,"0",0.5,"0","0","0"
28,"0",0.82,"0",1.16,"0",2.02,"0",0.9,"0",1.52,"0","0","3.5"
29,"",2.38,"",3.14,"",4.34,"",2.7,"",3.42,"","",""
30,"",1.62,"",1.54,"",3.9,"",2.92,"",2.62,"","",""
31,"",5.66,"",3.44,"",6.82,"",6.3,"",5.52,"","",""
32,"",10.48,"",5.66,"",8.52,"",10.38,"",7.86,"","",""
33,"",10.98,"",8.44,"",8.74,"",12.16,"",10.82,"","",""
34,"",12.16,"",12.56,"",9.18,"",17.74,"",11.74,"","",""
35,"",4.14,"",8.62,"",12.44,"",13.16,"",8.3,"","",""
36,"",17.74,"",3.34,"",10.06,"",4.96,"",7.12,"","",""
37,"",7.24,"",4.38,"",3.44,"",5.94,"",5.04,"","",""
