"","trap_id","method","zone","zone2","active","start","lat","long","trap_status"
"1","BC-22","L","BC","BC",1,2023,40.0107,-105.2091,"datasheet_clean"
"2","FC-019","L","NE","FC",1,2012,40.565586,-105.05203,"datasheet_clean"
"3","FC-057","L","SW","FC",1,2012,40.48439,-105.10524,"datasheet_clean"
