"well_position","ct_threshold","quantity","plate","SLEV_cq","cq","csu_id"
"E2","34000","17.165365219116211","plate_1",34.59,NA,"CSU-21933"
"E2","34000","23.636724472045898","plate_1",NA,33.6,"CSU-21933"
"E3","34000",NA,"plate_1",55.55,NA,"CSU-21941"
"E3","34000","27.103767395019531","plate_1",NA,33.42,"CSU-21941"
"E4","34000",NA,"plate_1",55.55,NA,"CSU-21949"
"E4","34000","17.442310333251953","plate_1",NA,34,"CSU-21949"
"E5","34000",NA,"plate_1",55.55,55.55,"CSU-21957"
"E6","34000",NA,"plate_1",55.55,55.55,"CSU-21965"
"E7","34000","2.9634099006652832","plate_1",37.01,NA,"CSU-21973"
"E7","34000","10.545513153076172","plate_1",NA,34.65,"CSU-21973"
"E8","34000",NA,"plate_1",55.55,NA,"CSU-21981"
"E8","34000","12.500223159790039","plate_1",NA,34.43,"CSU-21981"
"E9","34000",NA,"plate_1",55.55,55.55,"CSU-21989"
"E10","34000","9.7921667098999023","plate_1",35.36,NA,"CSU-21997"
"E10","34000","34.835067749023438","plate_1",NA,33.1,"CSU-21997"
"E11","34000","12697.0478515625","plate_1",25.48,NA,"M23 (W+S)"
"E11","34000","105718.765625","plate_1",NA,22.66,"M23 (W+S)"
"E12","34000","10000","plate_1",25.82,NA,"SLEV RNA"
"E12","34000","34.226345062255859","plate_1",NA,33.12,"SLEV RNA"
"F1","34000",NA,"plate_1",55.55,NA,"CSU-21926"
"F1","34000","0.28695186972618103","plate_1",NA,39.35,"CSU-21926"
"F2","34000",NA,"plate_1",55.55,55.55,"CSU-21934"
"F3","34000",NA,"plate_1",55.55,NA,"CSU-21942"
"F3","34000","0.28548961877822876","plate_1",NA,39.35,"CSU-21942"
"F4","34000",NA,"plate_1",55.55,55.55,"CSU-21950"
"F5","34000",NA,"plate_1",55.55,55.55,"CSU-21958"
"F6","34000","14.487232208251953","plate_1",34.82,NA,"CSU-21966"
"F6","34000","15.418757438659668","plate_1",NA,34.16,"CSU-21966"
"F7","34000","2.3317551612854004","plate_1",37.34,NA,"CSU-21974"
"F7","34000","36.821220397949219","plate_1",NA,33.02,"CSU-21974"
"F8","34000","7.8493995666503906","plate_1",35.67,NA,"CSU-21982"
"F8","34000","24.50469970703125","plate_1",NA,33.55,"CSU-21982"
"F9","34000",NA,"plate_1",55.55,NA,"CSU-21990"
"F9","34000","36.321887969970703","plate_1",NA,33.04,"CSU-21990"
"F10","34000","10.303287506103516","plate_1",35.29,NA,"CSU-21998"
"F10","34000","32.025661468505859","plate_1",NA,33.21,"CSU-21998"
"F11","34000",NA,"plate_1",55.55,NA,"M31 (W)"
"F11","34000","388415.53125","plate_1",NA,20.96,"M31 (W)"
"F12","34000","100","plate_1",32.16,NA,"SLEV RNA"
"F12","34000","38.474212646484375","plate_1",NA,32.97,"SLEV RNA"
"G1","34000","6.6331238746643066","plate_1",35.9,NA,"CSU-21927"
"G1","34000","42.381027221679688","plate_1",NA,32.84,"CSU-21927"
"G2","34000",NA,"plate_1",55.55,NA,"CSU-21935"
"G2","34000","13.959408760070801","plate_1",NA,34.29,"CSU-21935"
"G3","34000",NA,"plate_1",55.55,NA,"CSU-21943"
"G3","34000","18.238849639892578","plate_1",NA,33.94,"CSU-21943"
"G4","34000",NA,"plate_1",55.55,NA,"CSU-21951"
"G4","34000","27.349655151367188","plate_1",NA,33.41,"CSU-21951"
"G5","34000","1.9074935913085938","plate_1",37.62,NA,"CSU-21959"
"G5","34000","40.33990478515625","plate_1",NA,32.91,"CSU-21959"
"G6","34000",NA,"plate_1",55.55,NA,"CSU-21967"
"G6","34000","0.78079265356063843","plate_1",NA,38.04,"CSU-21967"
"G7","34000","5.47021484375","plate_1",36.17,NA,"CSU-21975"
"G7","34000","21.487192153930664","plate_1",NA,33.73,"CSU-21975"
"G8","34000",NA,"plate_1",55.55,NA,"CSU-21983"
"G8","34000","31.363241195678711","plate_1",NA,33.23,"CSU-21983"
"G9","34000","2.2585151195526123","plate_1",37.38,NA,"CSU-21991"
"G9","34000","23.424766540527344","plate_1",NA,33.61,"CSU-21991"
"G10","34000",NA,"plate_1",55.55,NA,"CSU-21999"
"G10","34000","38.224933624267578","plate_1",NA,32.98,"CSU-21999"
"G11","34000","390356.25","plate_1",20.76,NA,"M1 (S)"
"G11","34000","3.817399263381958","plate_1",NA,35.98,"M1 (S)"
"G12","34000",NA,"plate_1",34.88,32.96,"NTC"
"H1","34000",NA,"plate_1",55.55,55.55,"CSU-21928"
"H2","34000","9.0978755950927734","plate_1",35.46,NA,"CSU-21936"
"H2","34000","28.074867248535156","plate_1",NA,33.38,"CSU-21936"
"H3","34000","4.8903932571411133","plate_1",36.32,NA,"CSU-21944"
