"well_position","ct_threshold","plate","copies_SLEV","copies_WNV","cq_SLEV","cq","csu_id"
"H10","34000","plate_1",0,0,55.55,55.55,"CSU-22526"
"H11","34000","plate_1",910189.19,15141344,18.73,14.86,"pos rna ctrl"
"H12","34000","plate_1",0,0,55.55,55.55,"neg ext ctrl"
"A1","34000","plate_2",0,0,55.55,55.55,"CSU-22534"
"A2","34000","plate_2",0,0,55.55,55.55,"CSU-22542"
"A3","34000","plate_2",0,0,55.55,55.55,"CSU-22550"
"A4","34000","plate_2",0,0,55.55,55.55,"CSU-22558"
"A5","34000","plate_2",0,0,55.55,55.55,"CSU-22566"
"A6","34000","plate_2",0,0,55.55,55.55,"CDC-129"
"A7","34000","plate_2",0,4899.76,55.55,25.76,"CDC-137"
"A8","34000","plate_2",0,0,55.55,55.55,"CDC-145"
"A9","34000","plate_2",0,0,55.55,55.55,"BOU-00233"
"A10","34000","plate_2",0,6.71,55.55,35.18,"RMRP-00538"
"A11","34000","plate_2",0,67.71,55.55,31.88,"RMRP-00546"
"A12","34000","plate_2",0,1e+06,55.55,18.23,"wnv_std_1e6"
"B1","34000","plate_2",0,0,55.55,55.55,"CSU-22535"
"B2","34000","plate_2",0,0,55.55,55.55,"CSU-22543"
"B3","34000","plate_2",0,0,55.55,55.55,"CSU-22551"
"B4","34000","plate_2",0,0,55.55,55.55,"CSU-22559"
"B5","34000","plate_2",0,0,55.55,55.55,"CSU-22567"
"B6","34000","plate_2",0,33668.75,55.55,23.01,"CDC-130"
"B7","34000","plate_2",0,0,55.55,55.55,"CDC-138"
"B8","34000","plate_2",0,900.69,55.55,28.18,"CDC-146"
"B9","34000","plate_2",0,0,55.55,55.55,"BOU-00234"
"B10","34000","plate_2",0,4.71,55.55,35.69,"RMRP-00539"
"B11","34000","plate_2",0,0,55.55,55.55,"RMRP-00547"
"B12","34000","plate_2",0,10000,55.55,24.61,"wnv_std_1e4"
"C1","34000","plate_2",0,0,55.55,55.55,"CSU-22536"
"C2","34000","plate_2",0,7099.82,55.55,25.23,"CSU-22544"
"C3","34000","plate_2",0,0,55.55,55.55,"CSU-22552"
"C4","34000","plate_2",0,0,55.55,55.55,"CSU-22560"
"C5","34000","plate_2",0,0,55.55,55.55,"CSU-22568"
"C6","34000","plate_2",0,0,55.55,55.55,"CDC-131"
"C7","34000","plate_2",0,0,55.55,55.55,"CDC-139"
"C8","34000","plate_2",0,0,55.55,55.55,"CDC-147"
"C9","34000","plate_2",0,0,55.55,55.55,"BOU-00235"
"C10","34000","plate_2",0,761.86,55.55,28.42,"RMRP-00540"
"C11","34000","plate_2",0,0,55.55,55.55,"RMRP-00548"
"C12","34000","plate_2",0,100,55.55,31.39,"wnv_std_1e2"
"D1","34000","plate_2",0,0,55.55,55.55,"CSU-22537"
"D2","34000","plate_2",0,0,55.55,55.55,"CSU-22545"
"D3","34000","plate_2",0,0,55.55,55.55,"CSU-22553"
"D4","34000","plate_2",0,0,55.55,55.55,"CSU-22561"
"D5","34000","plate_2",0,1.38,55.55,37.45,"CSU-22569"
"D6","34000","plate_2",0,0,55.55,55.55,"CDC-132"
"D7","34000","plate_2",0,0,55.55,55.55,"CDC-140"
"D8","34000","plate_2",0,0,55.55,55.55,"CDC-148"
"D9","34000","plate_2",0,0,55.55,55.55,"RMRP-00533"
"D10","34000","plate_2",0,59177.61,55.55,22.2,"RMRP-00541"
"D11","34000","plate_2",0,0,55.55,55.55,"RMRP-00549"
"D12","34000","plate_2",1e+06,4.64,18.37,35.71,"slev_std_1e6"
"E1","34000","plate_2",0,0,55.55,55.55,"CSU-22538"
"E2","34000","plate_2",0,0,55.55,55.55,"CSU-22546"
"E3","34000","plate_2",0,0,55.55,55.55,"CSU-22554"
"E4","34000","plate_2",0,0,55.55,55.55,"CSU-22562"
"E5","34000","plate_2",0,0,55.55,55.55,"CSU-22570"
