"well_position","ct_threshold","plate","copies_SLEV","copies_WNV","cq_SLEV","cq","csu_id"
"A1","34000","plate_1",0,6.13,55.55,34.78,"CSU-22020"
"A2","34000","plate_1",0,0,55.55,55.55,"CSU-22028"
"A3","34000","plate_1",0,4.76,55.55,35.13,"CSU-22036"
"A4","34000","plate_1",1.59,1.6,36.57,36.62,"CSU-22044"
"A5","34000","plate_1",0,0.99,55.55,37.28,"CSU-22052"
"A6","34000","plate_1",0,0,55.55,55.55,"CSU-22060"
"A7","34000","plate_1",0,0.87,55.55,37.46,"CSU-22068"
"A8","34000","plate_1",0,3.74,55.55,35.46,"CSU-22076"
"A9","34000","plate_1",0,1.16,55.55,37.06,"CSU-22084"
"A10","34000","plate_1",0,1.1,55.55,37.13,"CSU-22092"
"A11","34000","plate_1",0.31,5.26,38.75,34.99,"CSU-22100"
"A12","34000","plate_1",0,1e+06,55.55,18.35,"wnv_std_1e6"
"B1","34000","plate_1",0,2.82,55.55,35.85,"CSU-22021"
"B2","34000","plate_1",0,0,55.55,55.55,"CSU-22029"
"B3","34000","plate_1",0,4.85,55.55,35.11,"CSU-22037"
"B4","34000","plate_1",0,0,55.55,55.55,"CSU-22045"
"B5","34000","plate_1",0,0,55.55,55.55,"CSU-22053"
"B6","34000","plate_1",0,0.9,55.55,37.42,"CSU-22061"
"B7","34000","plate_1",0,8.38,55.55,34.35,"CSU-22069"
"B8","34000","plate_1",0,4.37,55.55,35.25,"CSU-22077"
"B9","34000","plate_1",0,0,55.55,55.55,"CSU-22085"
"B10","34000","plate_1",0,3.44,55.55,35.58,"CSU-22093"
"B11","34000","plate_1",0,1.79,55.55,36.47,"CSU-22101"
"B12","34000","plate_1",0,10000,55.55,24.58,"wnv_std_1e4"
"C1","34000","plate_1",0,0,55.55,55.55,"CSU-22022"
"C2","34000","plate_1",0,0,55.55,55.55,"CSU-22030"
"C3","34000","plate_1",0.44,2.6,38.29,35.96,"CSU-22038"
"C4","34000","plate_1",0,8.38,55.55,34.35,"CSU-22046"
"C5","34000","plate_1",0,0,55.55,55.55,"CSU-22054"
"C6","34000","plate_1",0,0.36,55.55,38.65,"CSU-22062"
"C7","34000","plate_1",0,0,55.55,55.55,"CSU-22070"
"C8","34000","plate_1",0,0.48,55.55,38.27,"CSU-22078"
"C9","34000","plate_1",1.05,1.33,37.13,36.88,"CSU-22086"
"C10","34000","plate_1",0.35,2.65,38.6,35.93,"CSU-22094"
"C11","34000","plate_1",0,0,55.55,55.55,"CSU-22102"
"C12","34000","plate_1",3.96,100,35.35,30.98,"wnv_std_1e2"
"D1","34000","plate_1",0,2.58,55.55,35.97,"CSU-22023"
"D2","34000","plate_1",0,0,55.55,55.55,"CSU-22031"
"D3","34000","plate_1",0,0,55.55,55.55,"CSU-22039"
"D4","34000","plate_1",0,0,55.55,55.55,"CSU-22047"
"D5","34000","plate_1",0,3.03,55.55,35.75,"CSU-22055"
"D6","34000","plate_1",0,0.8,55.55,37.58,"CSU-22063"
"D7","34000","plate_1",0,0,55.55,55.55,"CSU-22071"
"D8","34000","plate_1",0,0,55.55,55.55,"CSU-22079"
"D9","34000","plate_1",0.81,3.04,37.48,35.74,"CSU-22087"
"D10","34000","plate_1",0.52,1.36,38.08,36.85,"CSU-22095"
"D11","34000","plate_1",0,0,55.55,55.55,"CSU-22103"
"D12","34000","plate_1",1e+06,3.74,18.61,35.46,"slev_std_1e6"
"E1","34000","plate_1",0,5.85,55.55,34.85,"CSU-22024"
"E2","34000","plate_1",0,0,55.55,55.55,"CSU-22032"
"E3","34000","plate_1",0.28,5.44,38.91,34.95,"CSU-22040"
"E4","34000","plate_1",0,3,55.55,35.76,"CSU-22048"
"E5","34000","plate_1",0,4.42,55.55,35.23,"CSU-22056"
"E6","34000","plate_1",2.17,3.7,36.16,35.47,"CSU-22064"
"E7","34000","plate_1",0,4.57,55.55,35.19,"CSU-22072"
"E8","34000","plate_1",0,3.23,55.55,35.66,"CSU-22080"
"E9","34000","plate_1",0,1.74,55.55,36.51,"CSU-22088"
"E10","34000","plate_1",0,0,55.55,55.55,"CSU-22096"
"E11","34000","plate_1",0,1.52,55.55,36.7,"CSU-22104"
"E12","34000","plate_1",10000,1.17,24.99,37.06,"slev_std_1e4"
"F1","34000","plate_1",0,0,55.55,55.55,"CSU-22025"
"F2","34000","plate_1",0,0,55.55,55.55,"CSU-22033"
"F3","34000","plate_1",0,0.89,55.55,37.43,"CSU-22041"
"F4","34000","plate_1",0,1.62,55.55,36.61,"CSU-22049"
"F5","34000","plate_1",0,1.62,55.55,36.61,"CSU-22057"
"F6","34000","plate_1",0,0.28,55.55,39.01,"CSU-22065"
"F7","34000","plate_1",0,2.49,55.55,36.02,"CSU-22073"
"F8","34000","plate_1",0,0,55.55,55.55,"CSU-22081"
"F9","34000","plate_1",0,1.32,55.55,36.89,"CSU-22089"
"F10","34000","plate_1",2.09,2.26,36.21,36.15,"CSU-22097"
"F11","34000","plate_1",0,0,55.55,55.55,"CSU-22105"
"F12","34000","plate_1",100,1.48,30.96,36.74,"slev_std_1e2"
"G1","34000","plate_1",0.76,1.47,37.56,36.74,"CSU-22026"
"G2","34000","plate_1",0,0,55.55,55.55,"CSU-22034"
"G3","34000","plate_1",0,0,55.55,55.55,"CSU-22042"
"G4","34000","plate_1",0,0,55.55,55.55,"CSU-22050"
"G5","34000","plate_1",0,0,55.55,55.55,"CSU-22058"
"G6","34000","plate_1",12.09,2.05,33.86,36.29,"CSU-22066"
"G7","34000","plate_1",5.17,6.69,35,34.66,"CSU-22074"
"G8","34000","plate_1",0,0.41,55.55,38.51,"CSU-22082"
"G9","34000","plate_1",0,1.43,55.55,36.78,"CSU-22090"
"G10","34000","plate_1",0,0.37,55.55,38.62,"CSU-22098"
"G11","34000","plate_1",0,0,55.55,55.55,"CSU-22106"
"G12","34000","plate_1",0,9.94,55.55,34.12,"neg pcr ctrl"
"H1","34000","plate_1",0,0.68,55.55,37.8,"CSU-22027"
"H2","34000","plate_1",0,0.95,55.55,37.34,"CSU-22035"
"H3","34000","plate_1",0,0,55.55,55.55,"CSU-22043"
"H4","34000","plate_1",0,0,55.55,55.55,"CSU-22051"
"H5","34000","plate_1",0,0,55.55,55.55,"CSU-22059"
"H6","34000","plate_1",0,0.28,55.55,39.01,"CSU-22067"
"H7","34000","plate_1",0,3.94,55.55,35.39,"CSU-22075"
"H8","34000","plate_1",0.42,3.13,38.35,35.71,"CSU-22083"
"H9","34000","plate_1",0,0.3,55.55,38.91,"CSU-22091"
"H10","34000","plate_1",0,3.66,55.55,35.49,"CSU-22099"
"H11","34000","plate_1",1340019.25,10780554,18.29,15.06,"pos rna ctrl"
"H12","34000","plate_1",0,13.16,55.55,33.73,"neg extract ctl"
"A1","34000","plate_2",0,7.52,55.55,35.46,"CSU-22107"
"A2","34000","plate_2",6.22,13.64,35.46,34.63,"RMRP-00438"
"A3","34000","plate_2",3.03,9.94,36.46,35.07,"RMRP-00446"
"A4","34000","plate_2",0,9.52,55.55,35.13,"RMRP-00454"
"A5","34000","plate_2",0,0,55.55,55.55,"BOU-00214"
"A6","34000","plate_2",0,2.6,55.55,36.93,"CDC-044"
"A7","34000","plate_2",0,2.26,55.55,37.13,"CDC-052"
"A12","34000","plate_2",0,1e+06,55.55,19.15,"wnv_std_1e6"
"B1","34000","plate_2",0,0,55.55,55.55,"CSU-22108"
"B2","34000","plate_2",2.75,10.79,36.59,34.96,"RMRP-00439"
"B3","34000","plate_2",0,5.55,55.55,35.88,"RMRP-00447"
"B4","34000","plate_2",0,3.64,55.55,36.46,"RMRP-00455"
