"well_position","ct_threshold","plate","copies_SLEV","copies_WNV","cq_SLEV","cq","csu_id"
"A1","34000","plate_1",0,0.83,55.55,37.46,"CSU-22112"
"A2","34000","plate_1",0,0,55.55,55.55,"CSU-22120"
"A3","34000","plate_1",0,0,55.55,55.55,"CSU-22128"
"A4","34000","plate_1",0.31,0,38.58,55.55,"CSU-22136"
"A5","34000","plate_1",0,1.37,55.55,36.78,"CSU-22144"
"A6","34000","plate_1",0,0,55.55,55.55,"CSU-22152"
"A7","34000","plate_1",0,0.31,55.55,38.83,"CSU-22160"
"A8","34000","plate_1",0,1.55,55.55,36.61,"CSU-22168"
"A9","34000","plate_1",0,1.65,55.55,36.53,"CSU-22176"
"A10","34000","plate_1",0,0,55.55,55.55,"CSU-22184"
"A11","34000","plate_1",0,0,55.55,55.55,"CSU-22192"
"A12","34000","plate_1",0,1e+06,55.55,18.38,"wnv_std_1e6"
"B1","34000","plate_1",0,0,55.55,55.55,"CSU-22113"
"B2","34000","plate_1",0,0.28,55.55,38.93,"CSU-22121"
"B3","34000","plate_1",0,0,55.55,55.55,"CSU-22129"
"B4","34000","plate_1",0,0,55.55,55.55,"CSU-22137"
"B5","34000","plate_1",0,0,55.55,55.55,"CSU-22145"
"B6","34000","plate_1",0,1.08,55.55,37.1,"CSU-22153"
"B7","34000","plate_1",0,2.13,55.55,36.18,"CSU-22161"
"B8","34000","plate_1",0,0,55.55,55.55,"CSU-22169"
"B9","34000","plate_1",0,0,55.55,55.55,"CSU-22177"
"B10","34000","plate_1",0,0,55.55,55.55,"CSU-22185"
"B11","34000","plate_1",0,0,55.55,55.55,"CSU-22193"
"B12","34000","plate_1",0,10000,55.55,24.61,"wnv_std_1e4"
"C1","34000","plate_1",0,0,55.55,55.55,"CSU-22114"
"C2","34000","plate_1",0,0,55.55,55.55,"CSU-22122"
"C3","34000","plate_1",0,0,55.55,55.55,"CSU-22130"
"C4","34000","plate_1",14.37,1.52,33.46,36.64,"CSU-22138"
"C5","34000","plate_1",0,0,55.55,55.55,"CSU-22146"
"C6","34000","plate_1",0,0,55.55,55.55,"CSU-22154"
"C7","34000","plate_1",0,0,55.55,55.55,"CSU-22162"
"C8","34000","plate_1",0,0,55.55,55.55,"CSU-22170"
"C9","34000","plate_1",0,0,55.55,55.55,"CSU-22178"
"C10","34000","plate_1",0,0,55.55,55.55,"CSU-22186"
"C11","34000","plate_1",0,0,55.55,55.55,"CSU-22194"
"C12","34000","plate_1",0,100,55.55,30.94,"wnv_std_1e2"
"D1","34000","plate_1",0,0,55.55,55.55,"CSU-22115"
"D2","34000","plate_1",0,0,55.55,55.55,"CSU-22123"
"D3","34000","plate_1",0,0,55.55,55.55,"CSU-22131"
"D4","34000","plate_1",0,0,55.55,55.55,"CSU-22139"
"D5","34000","plate_1",0,0,55.55,55.55,"CSU-22147"
"D6","34000","plate_1",0,0,55.55,55.55,"CSU-22155"
"D7","34000","plate_1",0,0,55.55,55.55,"CSU-22163"
"D8","34000","plate_1",0,0.19,55.55,39.44,"CSU-22171"
"D9","34000","plate_1",0,0,55.55,55.55,"CSU-22179"
"D10","34000","plate_1",0,0,55.55,55.55,"CSU-22187"
"D11","34000","plate_1",0,0,55.55,55.55,"CSU-22195"
"D12","34000","plate_1",1e+06,6.58,18.49,34.64,"slev_std_1e6"
"E1","34000","plate_1",0,1.57,55.55,36.6,"CSU-22116"
"E2","34000","plate_1",0.36,0.86,38.38,37.42,"CSU-22124"
"E3","34000","plate_1",0,0,55.55,55.55,"CSU-22132"
"E4","34000","plate_1",0,0,55.55,55.55,"CSU-22140"
"E5","34000","plate_1",0,0,55.55,55.55,"CSU-22148"
"E6","34000","plate_1",0,0,55.55,55.55,"CSU-22156"
"E7","34000","plate_1",0,0.81,55.55,37.49,"CSU-22164"
"E8","34000","plate_1",0,0,55.55,55.55,"CSU-22172"
"E9","34000","plate_1",0,0,55.55,55.55,"CSU-22180"
"E10","34000","plate_1",0,0,55.55,55.55,"CSU-22188"
"E11","34000","plate_1",0,0,55.55,55.55,"CSU-22196"
"E12","34000","plate_1",10000,0.25,24.86,39.09,"slev_std_1e4"
"F1","34000","plate_1",0,0,55.55,55.55,"CSU-22117"
"F2","34000","plate_1",0,0.85,55.55,37.43,"CSU-22125"
"F3","34000","plate_1",0,0,55.55,55.55,"CSU-22133"
"F4","34000","plate_1",0,2.6,55.55,35.91,"CSU-22141"
"F5","34000","plate_1",0,0.18,55.55,39.53,"CSU-22149"
"F6","34000","plate_1",0,0,55.55,55.55,"CSU-22157"
"F7","34000","plate_1",0,0,55.55,55.55,"CSU-22165"
"F8","34000","plate_1",0,0.43,55.55,38.35,"CSU-22173"
"F9","34000","plate_1",0,0,55.55,55.55,"CSU-22181"
"F10","34000","plate_1",0,0,55.55,55.55,"CSU-22189"
"F11","34000","plate_1",0,0,55.55,55.55,"CSU-22197"
"F12","34000","plate_1",100,0,30.79,55.55,"slev_std_1e2"
"G1","34000","plate_1",0,0,55.55,55.55,"CSU-22118"
"G2","34000","plate_1",0,1.11,55.55,37.07,"CSU-22126"
"G3","34000","plate_1",0,0,55.55,55.55,"CSU-22134"
"G4","34000","plate_1",0,0,55.55,55.55,"CSU-22142"
"G5","34000","plate_1",0,0,55.55,55.55,"CSU-22150"
"G6","34000","plate_1",0,1.09,55.55,37.1,"CSU-22158"
"G7","34000","plate_1",0,0.34,55.55,38.7,"CSU-22166"
"G8","34000","plate_1",0,0,55.55,55.55,"CSU-22174"
"G9","34000","plate_1",0,0,55.55,55.55,"CSU-22182"
"G10","34000","plate_1",0,0,55.55,55.55,"CSU-22190"
"G11","34000","plate_1",0.38,0,38.32,55.55,"CSU-22198"
"G12","34000","plate_1",0,0.72,55.55,37.66,"neg h2O pcr ctrl"
"H1","34000","plate_1",0,0,55.55,55.55,"CSU-22119"
"H2","34000","plate_1",0,0,55.55,55.55,"CSU-22127"
"H3","34000","plate_1",0,0,55.55,55.55,"CSU-22135"
"H4","34000","plate_1",0,11.02,55.55,33.94,"CSU-22143"
"H5","34000","plate_1",0,0,55.55,55.55,"CSU-22151"
"H6","34000","plate_1",0.16,5,39.46,35.02,"CSU-22159"
"H7","34000","plate_1",0,1.42,55.55,36.74,"CSU-22167"
"H8","34000","plate_1",0,0,55.55,55.55,"CSU-22175"
"H9","34000","plate_1",0,0,55.55,55.55,"CSU-22183"
"H10","34000","plate_1",0,0,55.55,55.55,"CSU-22191"
"H11","34000","plate_1",446808.28,18504192,19.64,14.38,"pos rna ctrl"
"H12","34000","plate_1",0,5.58,55.55,34.87,"neg rna ctrl"
"A1","34000","plate_2",0,0,55.55,55.55,"CSU-22199"
"A2","34000","plate_2",0,0,55.55,55.55,"CSU-22207"
"A3","34000","plate_2",0,0,55.55,55.55,"CSU-22215"
"A4","34000","plate_2",0,0,55.55,55.55,"CDC-060"
"A5","34000","plate_2",0,0,55.55,55.55,"CDC-068"
"A6","34000","plate_2",0,0,55.55,55.55,"BOU-00217"
"A7","34000","plate_2",0,2819720,55.55,16.45,"RMRP-00463"
"A8","34000","plate_2",0,0,55.55,55.55,"RMRP-00471"
"A9","34000","plate_2",0,3.18,55.55,38.24,"RMRP-00479"
"A10","34000","plate_2",0,0,55.55,55.55,"RMRP-00487"
"A12","34000","plate_2",0,1e+06,55.55,18.44,"wnv_std_1e6"
"B1","34000","plate_2",0,0,55.55,55.55,"CSU-22200"
"B2","34000","plate_2",0,0,55.55,55.55,"CSU-22208"
"B3","34000","plate_2",0,0,55.55,55.55,"CSU-22216"
"B4","34000","plate_2",0,0,55.55,55.55,"CDC-061"
"B5","34000","plate_2",0,0,55.55,55.55,"CDC-069"
"B6","34000","plate_2",0,0,55.55,55.55,"BOU-00218"
"B7","34000","plate_2",0,26.52,55.55,34.87,"RMRP-00464"
"B8","34000","plate_2",0,0,55.55,55.55,"RMRP-00472"
"B9","34000","plate_2",0,0,55.55,55.55,"RMRP-00480"
"B10","34000","plate_2",0,0,55.55,55.55,"RMRP-00488"
"B12","34000","plate_2",0,10000,55.55,24.74,"wnv_std_1e4"
"C1","34000","plate_2",0,0,55.55,55.55,"CSU-22201"
"C2","34000","plate_2",0,3.08,55.55,38.29,"CSU-22209"
"C3","34000","plate_2",0,0,55.55,55.55,"CSU-22217"
"C4","34000","plate_2",0,0,55.55,55.55,"CDC-062"
"C5","34000","plate_2",0,0,55.55,55.55,"CDC-070"
"C6","34000","plate_2",0,0,55.55,55.55,"BOU-00219"
"C7","34000","plate_2",0,5150.72,55.55,26.48,"RMRP-00465"
"C8","34000","plate_2",0,0,55.55,55.55,"RMRP-00473"
"C9","34000","plate_2",0,0,55.55,55.55,"RMRP-00481"
"C10","34000","plate_2",0,0,55.55,55.55,"RMRP-00489"
"C12","34000","plate_2",0,100,55.55,33.1,"wnv_std_1e2"
"D1","34000","plate_2",0,0,55.55,55.55,"CSU-22202"
"D2","34000","plate_2",0,0,55.55,55.55,"CSU-22210"
"D3","34000","plate_2",0,0,55.55,55.55,"CSU-22218"
"D4","34000","plate_2",0,0,55.55,55.55,"CDC-063"
"D5","34000","plate_2",0,0,55.55,55.55,"CDC-071"
"D6","34000","plate_2",0,0,55.55,55.55,"BOU-00220"
"D7","34000","plate_2",0,0,55.55,55.55,"RMRP-00466"
"D8","34000","plate_2",0,0,55.55,55.55,"RMRP-00474"
"D9","34000","plate_2",0,0,55.55,55.55,"RMRP-00482"
"D10","34000","plate_2",0,0,55.55,55.55,"RMRP-00490"
"D12","34000","plate_2",1e+06,13.07,18.65,35.99,"slev_std_1e6"
"E1","34000","plate_2",0,0,55.55,55.55,"CSU-22203"
"E2","34000","plate_2",0,0,55.55,55.55,"CSU-22211"
"E3","34000","plate_2",0,0,55.55,55.55,"CDC-056"
"E4","34000","plate_2",0,0,55.55,55.55,"CDC-064"
"E5","34000","plate_2",0,0,55.55,55.55,"CDC-072"
"E6","34000","plate_2",0,0,55.55,55.55,"RMRP-00459"
"E7","34000","plate_2",0,0,55.55,55.55,"RMRP-00467"
"E8","34000","plate_2",0,0,55.55,55.55,"RMRP-00475"
"E9","34000","plate_2",0,0,55.55,55.55,"RMRP-00483"
"E10","34000","plate_2",4089.82,857058.75,26.37,18.35,"pos rna ctrl"
"E12","34000","plate_2",10000,0,25.08,55.55,"slev_std_1e4"
