"zone","abund_Pipiens","abund_Tarsalis","pir_Pipiens","pir_Tarsalis","vi_Pipiens","vi_Tarsalis","vi_All"
"NW",0.2222,1.2222,0,0,0,0,0
"NE",0.9,3.9,0,0,0,0,0
"SE",0.5333,1.2667,0,0,0,0,0
"SW",0.8889,1.1111,0,0,0,0,0
"FC",0.6279,1.8372,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA
"LV",0.3333,6.6667,0,0,0,0,0
"BE",0,0.8,0,0,0,0,0
"BC",2.2174,2.2609,0,0,0,0,0
