"zone","abund_Pipiens","abund_Tarsalis","pir_Pipiens","pir_Tarsalis","vi_Pipiens","vi_Tarsalis","vi_All"
"NW",4.8889,11.6667,0,0,0,0,0
"NE",15.8,37.6,0,0.0026,0,0.1,0.06
"SE",2.0667,6.2667,0,0,0,0,0
"SW",6.6667,9.6667,0,0,0,0,0
"FC",6.814,15.3953,0,0.0015,0,0.02,0.01
NA,NA,NA,NA,NA,NA,NA,NA
"LV",3.1667,16.5,0,0,0,0,0
"BE",2.8,25.6,0,0,0,0,0
"BC",2.5652,14.1304,0,0,0,0,0
