"zone","abund_Pipiens","abund_Tarsalis","pir_Pipiens","pir_Tarsalis","vi_Pipiens","vi_Tarsalis","vi_All"
"NW",3,15.6667,0,0,0,0,0
"NE",6.4,28.7,0,0,0,0,0
"SE",2.7333,15.4,0,0,0,0,0
"SW",2.1111,22.5556,0,0,0,0,0
"FC",3.5116,20.0465,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA
"LV",0.8333,20.1667,0,0,0,0,0
"BE",2.3,25.1,0,0,0,0,0
"BC",4.4783,19.6522,0,0,0,0,0
