"","trap_id","method","zone","zone2","start","end","active","location_desc","lat","long","trap_status"
"1","FC-036","L","NW","FC",2006,NA,1,"",40.600766,-105.07984,"datasheet_clean"
"2","FC-041","L","NW","FC",2006,NA,1,"",40.58794,-105.10486,"datasheet_clean"
"3","FC-047","L","SE","FC",2006,NA,1,"",40.51551,-105.05292,"datasheet_clean"
"4","FC-052","L","NW","FC",2006,NA,1,"",40.56163,-105.08703,"datasheet_clean"
"5","FC-057","L","SW","FC",2006,NA,1,"",40.48439,-105.10524,"datasheet_clean"
"6","FC-060","L","NW","FC",2006,NA,1,"808 Ponderosa",40.5487,-105.12019,"datasheet_clean"
"7","FC-062","L","SW","FC",2006,NA,1,"",40.54278,-105.08741,"datasheet_clean"
"8","FC-067","L","NE","FC",2006,NA,1,"",40.57881,-105.05592,"datasheet_clean"
"9","FC-069","L","NE","FC",2006,NA,1,"",40.61438,-105.0527,"datasheet_clean"
"10","LV-104","L","LV","LV",2006,NA,1,"",40.396854,-105.02092,"datasheet_clean"
"11","LV-110","L","LV","LV",2006,NA,1,"",40.400764,-105.12268,"datasheet_clean"
