"zone","abund_Pipiens","abund_Tarsalis","pir_Pipiens","pir_Tarsalis","vi_Pipiens","vi_Tarsalis","vi_All"
"NW",0.2222,2,0,0,0,0,0
"NE",3.5,8.9,0,0,0,0,0
"SE",3,11.6,0,0,0,0,0
"SW",0.875,2.875,0,0,0,0,0
"FC",2.119,7.2381,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA
"LV",0,5.6667,0,0,0,0,0
"BE",1.1,22.6,0,0,0,0,0
"BC",1.3478,22.3043,0,0,0,0,0
