"zone","abund_Pipiens","abund_Tarsalis","pir_Pipiens","pir_Tarsalis","vi_Pipiens","vi_Tarsalis","vi_All"
"NW",3,8.4444,0,0,0,0,0
"NE",15.4,48.6,0.0036,0,0.06,0,0.08
"SE",3.1333,10.4,0,0,0,0,0
"SW",4.3333,5.4444,0,0,0,0,0
"FC",6.2093,17.8372,0.0021,0,0.01,0,0.02
NA,NA,NA,NA,NA,NA,NA,NA
"LV",1.5,19,0,0,0,0,0
"BE",1.9,8.7,0,0,0,0,0
"BC",5.1739,19.6522,0,0,0,0,0
