"week","pir_NW","pir_hx_NW","pir_NE","pir_hx_NE","pir_SE","pir_hx_SE","pir_SW","pir_hx_SW","pir_FC","pir_hx_FC","pir_LV","pir_BE","pir_BC"
23,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,3.9,0,0,0,2.4,0,0,0,0
26,16.5,0,0,0,2.9,0.06,0,0,2.4,0.02,1.9,0,7.9
27,0,0,1.7,0,2.5,0.14,1.8,0,2,0.1,0.9,3.7,5.1
28,3.5,0.12,5.1,0.14,5.8,0.86,3.2,0.26,5.1,0.5,5.6,5.2,0
29,7.8,0.82,9.2,1.3,14.6,1.42,10.2,0.66,11.1,1.2,13,13.7,0
30,4,0.82,3.9,0.76,7,2.76,4.8,1.96,5,1.72,7.8,10.1,17
31,8.1,4.04,10,1.44,7.1,5.54,3.8,5.54,7.8,4.04,14.1,10.3,0
32,9.4,8.6,8.9,3.88,13.4,6.02,10.6,10.12,11.1,5.9,5.6,7.4,19.4
33,25.1,6.6,0,8.68,18.3,5.9,22.7,7.62,17.8,7.82,0,9.2,9.7
34,27.1,7.12,24.7,7.62,12,9.2,35.4,11.54,22.1,8.4,26.4,13.2,0
35,0,4.14,4,8.46,0,13.94,18.3,12.8,3.4,8.64,0,0,0
36,16.4,14.46,5.4,2.26,20,6.06,0,4.96,11.3,4.86,0,0,0
37,22.5,2.74,8,2.78,15.1,0.42,29.7,0,13.7,2.3,0,0,0
