"zone","examined_Pipiens","examined_Tarsalis","examined_All","pool_Pipiens","pool_Tarsalis","pool_all","pos_pool_Pipiens","pos_pool_Tarsalis","pos_pool_all","pir_Pipiens","pir_Tarsalis","pir_All"
"NW",6,21,27,7,4,11,1,0,1,39.6,0,22.5
"NE",173,39,212,14,8,22,2,0,2,9.3,0,8
"SE",43,27,70,10,11,21,2,0,2,18,0,15.1
"SW",5,23,28,5,7,12,1,0,1,73.3,0,29.7
"FC",227,110,337,36,30,66,6,0,6,17.8,0,13.7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LV",0,0,0,0,0,0,0,0,0,0,0,0
"BE",0,0,0,0,0,0,0,0,0,0,0,0
"BC",41,68,109,1,4,5,0,0,0,0,0,0
