"","trap_id","method","zone","zone2","start","end","active","location_desc","lat","long","trap_status"
"1","FC-001","L","SW","FC",2006,NA,1,"",40.49087,-105.08257,"datasheet_clean"
"2","FC-006","L","NE","FC",2006,NA,1,"",40.592328,-105.0663,"datasheet_clean"
"3","FC-011","L","NW","FC",2006,NA,1,"",40.56948,-105.13603,"datasheet_clean"
"4","FC-029","L","SE","FC",2006,NA,1,"",40.51011,-105.06935,"datasheet_clean"
"5","FC-031","L","SE","FC",2006,NA,1,"",40.50609,-105.03942,"datasheet_clean"
"6","FC-040","L","NE","FC",2006,NA,1,"",40.60326,-105.06554,"datasheet_clean"
"7","FC-041","L","NW","FC",2006,NA,1,"",40.58794,-105.10486,"datasheet_clean"
"8","FC-053","L","SE","FC",2006,NA,1,"",40.49942,-105.01183,"datasheet_clean"
"9","FC-057","L","SW","FC",2006,NA,1,"",40.48439,-105.10524,"datasheet_clean"
"10","FC-060","L","NW","FC",2006,NA,1,"808 Ponderosa",40.5487,-105.12019,"datasheet_clean"
"11","FC-062","L","SW","FC",2006,NA,1,"",40.54278,-105.08741,"datasheet_clean"
"12","FC-068","L","SW","FC",2006,NA,1,"",40.516,-105.08547,"datasheet_clean"
"13","FC-071","L","SW","FC",2006,NA,1,"",40.52733,-105.10821,"datasheet_clean"
"14","FC-072","L","NE","FC",2006,NA,1,"",40.56953,-105.07117,"datasheet_clean"
"15","LC-054","L","BE","BE",2017,NA,1,"",40.343955,-105.10277,"datasheet_clean"
"16","LC-058","L","BE","BE",2024,NA,1,"",40.3082833,-105.09688,"datasheet_clean"
"17","LV-069","L","LV","LV",2006,NA,1,"",40.428924,-105.05822,"datasheet_clean"
"18","LV-089","L","LV","LV",2006,NA,1,"",40.400251,-105.0424,"datasheet_clean"
"19","LV-104","L","LV","LV",2006,NA,1,"",40.396854,-105.02092,"datasheet_clean"
