"","trap_id","method","zone","zone2","start","end","active","location_desc","lat","long","trap_status"
"1","BC-22","L","BC","BC",2021,NA,1,"",40.0107,-105.2091,"datasheet_clean"
"2","FC-037","L","SW","FC",2006,NA,1,"",40.51668,-105.09808,"datasheet_clean"
"3","FC-060","L","NW","FC",2006,NA,1,"808 Ponderosa",40.5487,-105.12019,"datasheet_clean"
"4","FC-063","L","NW","FC",2006,NA,1,"",40.56568,-105.10485,"datasheet_clean"
"5","FC-068","L","SW","FC",2006,NA,1,"",40.516,-105.08547,"datasheet_clean"
"6","LC-001","L","BE","BE",2017,NA,1,"",40.302587,-105.08406,"datasheet_clean"
"7","LC-049","L","BE","BE",2017,NA,1,"",40.312995,-105.07873,"datasheet_clean"
"8","LC-053","L","BE","BE",2017,NA,1,"",40.320553,-105.09457,"datasheet_clean"
"9","LC-054","L","BE","BE",2017,NA,1,"",40.343955,-105.10277,"datasheet_clean"
"10","LC-058","L","BE","BE",2024,NA,1,"",40.3082833,-105.09688,"datasheet_clean"
"11","LC-059","L","BE","BE",2024,NA,1,"",40.2931157,-105.08463,"datasheet_clean"
"12","LC-060","L","BE","BE",2024,NA,1,"",40.3031963,-105.06938,"datasheet_clean"
"13","LC-061","L","BE","BE",2024,NA,1,"",40.3368194,-105.08659,"datasheet_clean"
"14","LC-062","L","BE","BE",2024,NA,1,"",40.3439276,-105.11628,"datasheet_clean"
"15","LV-020","L","LV","LV",2006,NA,1,"",40.373964,-105.11349,"datasheet_clean"
"16","LV-069","L","LV","LV",2006,NA,1,"",40.428924,-105.05822,"datasheet_clean"
"17","LV-089","L","LV","LV",2006,NA,1,"",40.400251,-105.0424,"datasheet_clean"
"18","LV-095","L","LV","LV",2006,NA,1,"",40.444118,-105.02217,"datasheet_clean"
"19","LV-104","L","LV","LV",2006,NA,1,"",40.396854,-105.02092,"datasheet_clean"
"20","LV-110","L","LV","LV",2006,NA,1,"",40.400764,-105.12268,"datasheet_clean"
"21","WC-055","L","BE","BE",2017,NA,1,"",40.2891835,-104.99154,"datasheet_clean"
