"zone","week","spp","type","abund","pir","vi","type2"
"SE","30","Pipiens","hx",9.44181818181818,0.00629090909090909,0.0430818181818182,"hx_Pipiens"
"SE","30","Tarsalis","hx",82.6654545454546,0.0024,0.151045454545455,"hx_Tarsalis"
"SE","31","Pipiens","hx",11.226,0.01043,0.11508,"hx_Pipiens"
"SE","31","Tarsalis","hx",61.926,0.00347,0.23659,"hx_Tarsalis"
"SE","32","Pipiens","hx",11.36,0.0092,0.09581,"hx_Pipiens"
"SE","32","Tarsalis","hx",33.261,0.00336,0.11501,"hx_Tarsalis"
"SE","33","Pipiens","hx",11.713,0.01117,0.09134,"hx_Pipiens"
"SE","33","Tarsalis","hx",28.001,0.00491,0.11609,"hx_Tarsalis"
"SE","34","Pipiens","hx",11.434,0.01427,0.14756,"hx_Pipiens"
"SE","34","Tarsalis","hx",18.374,0.0045,0.0775,"hx_Tarsalis"
"SE","35","Pipiens","hx",10.847,0.01856,0.1525,"hx_Pipiens"
"SE","35","Tarsalis","hx",10.527,0.01285,0.11164,"hx_Tarsalis"
"SE","36","Pipiens","hx",8.535,0.0078375,0.0638875,"hx_Pipiens"
"SE","36","Tarsalis","hx",5.10875,0,0,"hx_Tarsalis"
"SE","37","Pipiens","hx",7.68428571428571,0.00282857142857143,0.0202,"hx_Pipiens"
"SE","37","Tarsalis","hx",1.93285714285714,NA,NA,"hx_Tarsalis"
"SW","23","Pipiens","hx",0.776666666666667,0,0,"hx_Pipiens"
"SW","23","Pipiens","current",0.56,0,0,"current_Pipiens"
"SW","23","Tarsalis","hx",3.37,0,0,"hx_Tarsalis"
"SW","23","Tarsalis","current",0.33,0,0,"current_Tarsalis"
"SW","24","Pipiens","hx",0.543333333333333,0,0,"hx_Pipiens"
"SW","24","Tarsalis","hx",2.04888888888889,NA,NA,"hx_Tarsalis"
"SW","25","Pipiens","hx",0.557,0,0,"hx_Pipiens"
"SW","25","Tarsalis","hx",4.155,0,0,"hx_Tarsalis"
"SW","26","Pipiens","hx",1.288,NA,NA,"hx_Pipiens"
"SW","26","Tarsalis","hx",15.278,0,0,"hx_Tarsalis"
"SW","27","Pipiens","hx",1.31,0,0,"hx_Pipiens"
"SW","27","Tarsalis","hx",10.943,0,0,"hx_Tarsalis"
"SW","28","Pipiens","hx",2.18,0.00441,0.00726,"hx_Pipiens"
"SW","28","Tarsalis","hx",40.844,9e-05,0.02172,"hx_Tarsalis"
"SW","29","Pipiens","hx",3.333,0.00062,0.00944,"hx_Pipiens"
"SW","29","Tarsalis","hx",40.122,0.00079,0.08244,"hx_Tarsalis"
"SW","30","Pipiens","hx",3.13272727272727,0,0,"hx_Pipiens"
"SW","30","Tarsalis","hx",31.7690909090909,0.00103636363636364,0.0894181818181818,"hx_Tarsalis"
"SW","31","Pipiens","hx",4.044,0.00586,0.02731,"hx_Pipiens"
"SW","31","Tarsalis","hx",20.023,0.00494,0.09643,"hx_Tarsalis"
"SW","32","Pipiens","hx",4.911,0.00839,0.04204,"hx_Pipiens"
"SW","32","Tarsalis","hx",17.699,0.01167,0.11737,"hx_Tarsalis"
"SW","33","Pipiens","hx",4.957,0.0105,0.05318,"hx_Pipiens"
"SW","33","Tarsalis","hx",14.979,0.00547,0.09235,"hx_Tarsalis"
