trap_id,zone,zone2,trap_date,year,week,spp,method,trap_status,total,key,source,epiweek,week_submitted
BC-25,BC,BC,2026-06-02,2026,23,Tarsalis,L,culex,8,,,,
BC-26,BC,BC,2026-06-02,2026,23,Pipiens,L,culex,1,,,,
BC-26,BC,BC,2026-06-02,2026,23,Tarsalis,L,culex,24,,,,
FC-004,SE,FC,2026-06-02,2026,23,Pipiens,L,culex,1,,,,
FC-004,SE,FC,2026-06-02,2026,23,Tarsalis,L,culex,2,,,,
FC-023,SE,FC,2026-06-02,2026,23,Pipiens,L,culex,0,,,,
FC-023,SE,FC,2026-06-02,2026,23,Tarsalis,L,culex,1,,,,
FC-027,SE,FC,2026-06-02,2026,23,Pipiens,L,other spp,0,,,,
FC-027,SE,FC,2026-06-02,2026,23,Tarsalis,L,other spp,0,,,,
FC-031,SE,FC,2026-06-02,2026,23,Pipiens,L,other spp,0,,,,
FC-031,SE,FC,2026-06-02,2026,23,Tarsalis,L,other spp,0,,,,
FC-039,SE,FC,2026-06-02,2026,23,Pipiens,L,other spp,0,,,,
FC-039,SE,FC,2026-06-02,2026,23,Tarsalis,L,other spp,0,,,,
FC-046,SE,FC,2026-06-02,2026,23,Pipiens,L,culex,3,,,,
FC-046,SE,FC,2026-06-02,2026,23,Tarsalis,L,culex,2,,,,
FC-047,SE,FC,2026-06-02,2026,23,Pipiens,L,other spp,0,,,,
FC-047,SE,FC,2026-06-02,2026,23,Tarsalis,L,other spp,0,,,,
FC-050,SE,FC,2026-06-02,2026,23,Pipiens,L,culex,2,,,,
FC-050,SE,FC,2026-06-02,2026,23,Tarsalis,L,culex,1,,,,
FC-053,SE,FC,2026-06-02,2026,23,Pipiens,L,other spp,0,,,,
FC-053,SE,FC,2026-06-02,2026,23,Tarsalis,L,other spp,0,,,,
FC-059,SE,FC,2026-06-02,2026,23,Pipiens,L,no mosquitoes,0,,,,
FC-059,SE,FC,2026-06-02,2026,23,Tarsalis,L,no mosquitoes,0,,,,
FC-064,SE,FC,2026-06-02,2026,23,Pipiens,L,other spp,0,,,,
FC-064,SE,FC,2026-06-02,2026,23,Tarsalis,L,other spp,0,,,,
FC-074,SE,FC,2026-06-02,2026,23,Pipiens,L,culex,0,,,,
FC-074,SE,FC,2026-06-02,2026,23,Tarsalis,L,culex,2,,,,
FC-075,SE,FC,2026-06-02,2026,23,Pipiens,L,other spp,0,,,,
FC-075,SE,FC,2026-06-02,2026,23,Tarsalis,L,other spp,0,,,,
FC-075GR,SE,FC,2026-06-02,2026,23,Pipiens,G,no mosquitoes,0,,,,
FC-075GR,SE,FC,2026-06-02,2026,23,Tarsalis,G,no mosquitoes,0,,,,
FC-088GR,SE,FC,2026-06-02,2026,23,Pipiens,G,culex,8,,,,
FC-088GR,SE,FC,2026-06-02,2026,23,Tarsalis,G,culex,0,,,,
LV-089,LV,LV,2026-06-02,2026,23,Pipiens,L,malfunction,,,,,
LV-089,LV,LV,2026-06-02,2026,23,Tarsalis,L,malfunction,,,,,
LV-104,LV,LV,2026-06-02,2026,23,Pipiens,L,culex,0,,,,
LV-104,LV,LV,2026-06-02,2026,23,Tarsalis,L,culex,8,,,,
LV-110,LV,LV,2026-06-02,2026,23,Pipiens,L,culex,3,,,,
LV-110,LV,LV,2026-06-02,2026,23,Tarsalis,L,culex,10,,,,
FC-006,NE,FC,2026-06-01,2026,23,Pipiens,L,culex,0,,,,
FC-006,NE,FC,2026-06-01,2026,23,Tarsalis,L,culex,1,,,,
FC-014,NE,FC,2026-06-01,2026,23,Pipiens,L,other spp,0,,,,
FC-014,NE,FC,2026-06-01,2026,23,Tarsalis,L,other spp,0,,,,
FC-019,NE,FC,2026-06-01,2026,23,Pipiens,L,culex,0,,,,
FC-019,NE,FC,2026-06-01,2026,23,Tarsalis,L,culex,4,,,,
FC-034,NE,FC,2026-06-01,2026,23,Pipiens,L,culex,0,,,,
FC-034,NE,FC,2026-06-01,2026,23,Tarsalis,L,culex,1,,,,
FC-036,NW,FC,2026-06-01,2026,23,Pipiens,L,other spp,0,,,,
FC-036,NW,FC,2026-06-01,2026,23,Tarsalis,L,other spp,0,,,,
FC-038,NE,FC,2026-06-01,2026,23,Pipiens,L,culex,2,,,,
FC-038,NE,FC,2026-06-01,2026,23,Tarsalis,L,culex,3,,,,
FC-040,NE,FC,2026-06-01,2026,23,Pipiens,L,no mosquitoes,0,,,,
FC-040,NE,FC,2026-06-01,2026,23,Tarsalis,L,no mosquitoes,0,,,,
FC-040GR,NE,FC,2026-06-01,2026,23,Pipiens,G,other spp,0,,,,
FC-040GR,NE,FC,2026-06-01,2026,23,Tarsalis,G,other spp,0,,,,
FC-066,NE,FC,2026-06-01,2026,23,Pipiens,L,culex,3,,,,
FC-066,NE,FC,2026-06-01,2026,23,Tarsalis,L,culex,8,,,,
FC-066GR,NE,FC,2026-06-01,2026,23,Pipiens,G,other spp,0,,,,
FC-066GR,NE,FC,2026-06-01,2026,23,Tarsalis,G,other spp,0,,,,
FC-067,NE,FC,2026-06-01,2026,23,Pipiens,L,culex,0,,,,
FC-067,NE,FC,2026-06-01,2026,23,Tarsalis,L,culex,1,,,,
FC-069,NE,FC,2026-06-01,2026,23,Pipiens,L,other spp,0,,,,
FC-069,NE,FC,2026-06-01,2026,23,Tarsalis,L,other spp,0,,,,
FC-072,NE,FC,2026-06-01,2026,23,Pipiens,L,other spp,0,,,,
FC-072,NE,FC,2026-06-01,2026,23,Tarsalis,L,other spp,0,,,,
FC-091GR,NE,FC,2026-06-01,2026,23,Pipiens,G,no mosquitoes,0,,,,
FC-091GR,NE,FC,2026-06-01,2026,23,Tarsalis,G,no mosquitoes,0,,,,
FC-092GR,NE,FC,2026-06-01,2026,23,Pipiens,G,no mosquitoes,0,,,,
FC-092GR,NE,FC,2026-06-01,2026,23,Tarsalis,G,no mosquitoes,0,,,,
LV-069,LV,LV,2026-06-01,2026,23,Pipiens,L,other spp,0,,,,
LV-069,LV,LV,2026-06-01,2026,23,Tarsalis,L,other spp,0,,,,
LV-095,LV,LV,2026-06-01,2026,23,Pipiens,L,culex,0,,,,
LV-095,LV,LV,2026-06-01,2026,23,Tarsalis,L,culex,3,,,,
FC-001,SW,FC,2025-09-11,2025,37,Pipiens,L,no culex,0,FC001|Pipiens|2025|37,vdci,37,
FC-001,SW,FC,2025-09-11,2025,37,Tarsalis,L,no culex,0,FC001|Tarsalis|2025|37,vdci,37,
FC-029,SE,FC,2025-09-11,2025,37,Pipiens,L,no culex,0,FC029|Pipiens|2025|37,vdci,37,
FC-029,SE,FC,2025-09-11,2025,37,Tarsalis,L,no culex,0,FC029|Tarsalis|2025|37,vdci,37,
FC-029GR,SE,FC,2025-09-11,2025,37,Pipiens,G,culex,37,FC029GR|Pipiens|2025|37,vdci,37,
FC-029GR,SE,FC,2025-09-11,2025,37,Tarsalis,G,culex,0,FC029GR|Tarsalis|2025|37,vdci,37,
FC-037,SW,FC,2025-09-11,2025,37,Pipiens,L,culex,2,FC037|Pipiens|2025|37,vdci,37,
FC-037,SW,FC,2025-09-11,2025,37,Tarsalis,L,culex,3,FC037|Tarsalis|2025|37,vdci,37,
FC-054,SE,FC,2025-09-11,2025,37,Pipiens,L,culex,3,FC054|Pipiens|2025|37,vdci,37,
FC-054,SE,FC,2025-09-11,2025,37,Tarsalis,L,culex,2,FC054|Tarsalis|2025|37,vdci,37,
FC-057,SW,FC,2025-09-11,2025,37,Pipiens,L,culex,0,FC057|Pipiens|2025|37,vdci,37,
FC-057,SW,FC,2025-09-11,2025,37,Tarsalis,L,culex,1,FC057|Tarsalis|2025|37,vdci,37,
FC-062,SW,FC,2025-09-11,2025,37,Pipiens,L,culex,1,FC062|Pipiens|2025|37,vdci,37,
FC-062,SW,FC,2025-09-11,2025,37,Tarsalis,L,culex,9,FC062|Tarsalis|2025|37,vdci,37,
FC-068,SW,FC,2025-09-11,2025,37,Pipiens,L,culex,0,FC068|Pipiens|2025|37,vdci,37,
FC-068,SW,FC,2025-09-11,2025,37,Tarsalis,L,culex,1,FC068|Tarsalis|2025|37,vdci,37,
FC-071,SW,FC,2025-09-11,2025,37,Pipiens,L,no culex,0,FC071|Pipiens|2025|37,vdci,37,
FC-071,SW,FC,2025-09-11,2025,37,Tarsalis,L,no culex,0,FC071|Tarsalis|2025|37,vdci,37,
FC-089GR,SW,FC,2025-09-11,2025,37,Pipiens,G,culex,14,FC089GR|Pipiens|2025|37,vdci,37,
FC-089GR,SW,FC,2025-09-11,2025,37,Tarsalis,G,culex,0,FC089GR|Tarsalis|2025|37,vdci,37,
FC-093,SW,FC,2025-09-11,2025,37,Pipiens,L,culex,1,FC093|Pipiens|2025|37,vdci,37,
FC-093,SW,FC,2025-09-11,2025,37,Tarsalis,L,culex,5,FC093|Tarsalis|2025|37,vdci,37,
FC-004,SE,FC,2025-09-10,2025,37,Pipiens,L,culex,0,FC004|Pipiens|2025|37,vdci,37,
FC-004,SE,FC,2025-09-10,2025,37,Tarsalis,L,culex,2,FC004|Tarsalis|2025|37,vdci,37,
FC-011,NW,FC,2025-09-10,2025,37,Pipiens,L,culex,1,FC011|Pipiens|2025|37,vdci,37,
FC-011,NW,FC,2025-09-10,2025,37,Tarsalis,L,culex,1,FC011|Tarsalis|2025|37,vdci,37,
FC-015,NW,FC,2025-09-10,2025,37,Pipiens,L,culex,1,FC015|Pipiens|2025|37,vdci,37,
FC-015,NW,FC,2025-09-10,2025,37,Tarsalis,L,culex,0,FC015|Tarsalis|2025|37,vdci,37,
FC-023,SE,FC,2025-09-10,2025,37,Pipiens,L,culex,0,FC023|Pipiens|2025|37,vdci,37,
FC-023,SE,FC,2025-09-10,2025,37,Tarsalis,L,culex,1,FC023|Tarsalis|2025|37,vdci,37,
FC-027,SE,FC,2025-09-10,2025,37,Pipiens,L,culex,28,FC027|Pipiens|2025|37,vdci,37,
FC-027,SE,FC,2025-09-10,2025,37,Tarsalis,L,culex,4,FC027|Tarsalis|2025|37,vdci,37,
FC-031,SE,FC,2025-09-10,2025,37,Pipiens,L,culex,1,FC031|Pipiens|2025|37,vdci,37,
FC-031,SE,FC,2025-09-10,2025,37,Tarsalis,L,culex,3,FC031|Tarsalis|2025|37,vdci,37,
FC-039,SE,FC,2025-09-10,2025,37,Pipiens,L,culex,0,FC039|Pipiens|2025|37,vdci,37,
FC-039,SE,FC,2025-09-10,2025,37,Tarsalis,L,culex,3,FC039|Tarsalis|2025|37,vdci,37,
FC-041,NW,FC,2025-09-10,2025,37,Pipiens,L,culex,2,FC041|Pipiens|2025|37,vdci,37,
FC-041,NW,FC,2025-09-10,2025,37,Tarsalis,L,culex,2,FC041|Tarsalis|2025|37,vdci,37,
FC-046,SE,FC,2025-09-10,2025,37,Pipiens,L,culex,0,FC046|Pipiens|2025|37,vdci,37,
FC-046,SE,FC,2025-09-10,2025,37,Tarsalis,L,culex,2,FC046|Tarsalis|2025|37,vdci,37,
FC-047,SE,FC,2025-09-10,2025,37,Pipiens,L,culex,0,FC047|Pipiens|2025|37,vdci,37,
FC-047,SE,FC,2025-09-10,2025,37,Tarsalis,L,culex,1,FC047|Tarsalis|2025|37,vdci,37,
FC-049,SW,FC,2025-09-10,2025,37,Pipiens,L,culex,1,FC049|Pipiens|2025|37,vdci,37,
FC-049,SW,FC,2025-09-10,2025,37,Tarsalis,L,culex,2,FC049|Tarsalis|2025|37,vdci,37,
FC-050,SE,FC,2025-09-10,2025,37,Pipiens,L,culex,2,FC050|Pipiens|2025|37,vdci,37,
FC-050,SE,FC,2025-09-10,2025,37,Tarsalis,L,culex,0,FC050|Tarsalis|2025|37,vdci,37,
FC-052,NW,FC,2025-09-10,2025,37,Pipiens,L,no culex,0,FC052|Pipiens|2025|37,vdci,37,
FC-052,NW,FC,2025-09-10,2025,37,Tarsalis,L,no culex,0,FC052|Tarsalis|2025|37,vdci,37,
FC-053,SE,FC,2025-09-10,2025,37,Pipiens,L,no culex,0,FC053|Pipiens|2025|37,vdci,37,
FC-053,SE,FC,2025-09-10,2025,37,Tarsalis,L,no culex,0,FC053|Tarsalis|2025|37,vdci,37,
FC-058,SW,FC,2025-09-10,2025,37,Pipiens,L,culex,0,FC058|Pipiens|2025|37,vdci,37,
FC-058,SW,FC,2025-09-10,2025,37,Tarsalis,L,culex,2,FC058|Tarsalis|2025|37,vdci,37,
FC-059,SE,FC,2025-09-10,2025,37,Pipiens,L,culex,0,FC059|Pipiens|2025|37,vdci,37,
FC-059,SE,FC,2025-09-10,2025,37,Tarsalis,L,culex,1,FC059|Tarsalis|2025|37,vdci,37,
FC-060,NW,FC,2025-09-10,2025,37,Pipiens,L,no culex,0,FC060|Pipiens|2025|37,vdci,37,
FC-060,NW,FC,2025-09-10,2025,37,Tarsalis,L,no culex,0,FC060|Tarsalis|2025|37,vdci,37,
FC-061,NW,FC,2025-09-10,2025,37,Pipiens,L,culex,1,FC061|Pipiens|2025|37,vdci,37,
FC-061,NW,FC,2025-09-10,2025,37,Tarsalis,L,culex,7,FC061|Tarsalis|2025|37,vdci,37,
FC-063,NW,FC,2025-09-10,2025,37,Pipiens,L,no culex,0,FC063|Pipiens|2025|37,vdci,37,
FC-063,NW,FC,2025-09-10,2025,37,Tarsalis,L,no culex,0,FC063|Tarsalis|2025|37,vdci,37,
FC-063GR,NW,FC,2025-09-10,2025,37,Pipiens,G,culex,5,FC063GR|Pipiens|2025|37,vdci,37,
