"zone","abund_Pipiens","abund_Tarsalis","pir_Pipiens","pir_Tarsalis","vi_Pipiens","vi_Tarsalis","vi_All"
"NW",0.5556,0.2222,0,0,0,0,0
"NE",0.9,3.6,0,0,0,0,0
"SE",1.1429,3.0714,0,0,0,0,0
"SW",1.2222,0.8889,0,0,0,0,0
"FC",0.9762,2.119,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA
"LV",0.3333,4.5,0,0,0,0,0
"BE",0,5.4,0,0,0,0,0
"BC",0.3913,6,0,0,0,0,0
