"zone","abund_Pipiens","abund_Tarsalis","pir_Pipiens","pir_Tarsalis","vi_Pipiens","vi_Tarsalis","vi_All"
"NW",9.5556,7.8889,0.0223,0.0349,0.21,0.28,0.47
"NE",9,14,0.0159,0.0376,0.14,0.53,0.57
"SE",8,13.4,0.0124,0.0108,0.1,0.14,0.26
"SW",5,7.8889,0.0332,0.0332,0.17,0.26,0.46
"FC",7.9302,11.2326,0.0195,0.0257,0.15,0.29,0.42
NA,NA,NA,NA,NA,NA,NA,NA
"LV",9.5,33.3333,0.0163,0.0284,0.15,0.95,1.13
"BE",2.3,55.1,0,0.0138,0,0.76,0.76
"BC",2,16.6,0,0,0,0,0
