"zone","examined_Pipiens","examined_Tarsalis","examined_All","pool_Pipiens","pool_Tarsalis","pool_all","pos_pool_Pipiens","pos_pool_Tarsalis","pos_pool_all","pir_Pipiens","pir_Tarsalis","pir_All"
"NW",44,14,58,11,7,18,0,0,0,0,0,0
"NE",163,42,205,13,9,22,0,1,1,0,23.3,4
"SE",117,68,185,15,13,28,0,0,0,0,0,0
"SW",15,31,46,8,6,14,1,0,1,41.7,0,18.3
"FC",339,155,494,47,35,82,1,1,2,2.3,6.6,3.4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LV",20,61,81,5,6,11,0,0,0,0,0,0
"BE",30,70,100,9,10,19,0,0,0,0,0,0
"BC",29,10,39,2,3,5,0,0,0,0,0,0
