"zone","examined_Pipiens","examined_Tarsalis","examined_All","pool_Pipiens","pool_Tarsalis","pool_all","pos_pool_Pipiens","pos_pool_Tarsalis","pos_pool_all","pir_Pipiens","pir_Tarsalis","pir_All"
"NW",22,29,51,11,8,19,0,0,0,0,0,0
"NE",189,82,271,15,10,25,0,0,0,0,0,0
"SE",142,251,393,21,15,36,1,1,2,3,4.1,3.6
"SW",28,95,123,8,10,18,1,0,1,21,0,6.7
"FC",381,457,838,NA,NA,NA,NA,NA,NA,3.1,2.2,2.8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LV",69,199,268,5,6,11,0,0,0,0,0,0
"BE",41,291,332,6,11,17,0,0,0,0,0,0
"BC",98,127,225,0,5,5,0,0,0,0,0,0
