"zone","abund_Pipiens","abund_Tarsalis","pir_Pipiens","pir_Tarsalis","vi_Pipiens","vi_Tarsalis","vi_All"
"NW",2.4444,3.2222,0,0,0,0,0
"NE",18.9,8.2,0,0,0,0,0
"SE",9.4667,16.7333,0.003,0.0041,0.03,0.07,0.09
"SW",3.1111,10.5556,0.021,0,0.07,0,0.09
"FC",8.8605,10.6279,0.0031,0.0022,0.03,0.02,0.05
NA,NA,NA,NA,NA,NA,NA,NA
"LV",11.5,33.1667,0,0,0,0,0
"BE",4.5556,32.3333,0,0,0,0,0
"BC",4.2609,5.5217,0,0,0,0,0
