"csu_id","test_code","ct_threshold","plate","copies_SLEV","copies_WNV","cq_SLEV","cq"
"CSU-21993",0,34000,"plate_1",6.75,18.11,35.88,33.95
"CSU-21994",0,34000,"plate_1",0,0,55.55,55.55
"CSU-21995",0,34000,"plate_1",10.68,25.54,35.24,33.5
"CSU-21996",0,34000,"plate_1",25.03,42.33,34.07,32.84
"CSU-21997",0,34000,"plate_1",9.79,34.84,35.36,33.1
"CSU-21998",0,34000,"plate_1",10.3,32.03,35.29,33.21
"CSU-21999",0,34000,"plate_1",0,38.22,55.55,32.98
"CSU-22000",0,34000,"plate_2",0,11.41,55.55,33.97
"CSU-22001",0,34000,"plate_2",0.25,11.45,39.38,33.96
"CSU-22002",0,34000,"plate_2",0,5.19,55.55,35.01
"CSU-22003",0,34000,"plate_2",0,1.31,55.55,36.84
"CSU-22004",0,34000,"plate_2",0.22,11.45,39.52,33.96
"CSU-22005",0,34000,"plate_2",0.99,12.54,37.49,33.84
"CSU-22006",0,34000,"plate_2",0.27,11.89,39.25,33.91
"CSU-22007",0,34000,"plate_2",0,14.96,55.55,33.61
"CSU-22008",0,34000,"plate_2",0,9.35,55.55,34.23
"CSU-22009",0,34000,"plate_2",0,0,55.55,55.55
"CSU-22010",0,34000,"plate_2",6.35,27.58,34.95,32.79
"CSU-22011",0,34000,"plate_2",7.74,16.73,34.68,33.46
"CSU-22012",0,34000,"plate_2",4.39,13.51,35.46,33.74
"CSU-22013",0,34000,"plate_2",0.87,13.1,37.67,33.78
"CSU-22014",0,34000,"plate_2",6.08,14.63,35.01,33.64
"CSU-22015",0,34000,"plate_2",30.66,18.37,32.81,33.33
"CSU-22016",0,34000,"plate_2",7.32,17.39,34.76,33.41
"CSU-22017",0,34000,"plate_2",0,0,55.55,55.55
"CSU-22018",0,34000,"plate_2",48.24,14.82,32.19,33.62
"CSU-22019",0,34000,"plate_2",3.83,19.75,35.64,33.24
"Foy 2023 121",1,34000,"plate_1",0,110.19,55.55,31.6
"WNV RNA",1,34000,"plate_1",0,1e+06,55.55,19.68
"Foy 2023 171",0,34000,"plate_1",0,10.2,55.55,34.7
"WNV RNA",1,34000,"plate_1",24.86,10000,34.08,25.82
"M15 (W+S)",1,34000,"plate_1",934638.19,16745171,19.56,16.06
"WNV RNA",0,34000,"plate_1",14.96,100,34.78,31.68
"M3 (W+S)",1,34000,"plate_1",60310.09,344466.59,23.34,21.12
