"zone","abund_Pipiens","abund_Tarsalis","abund_All","pir_Pipiens","pir_Tarsalis","pir_All","vi_Pipiens","vi_Tarsalis","vi_All"
"NW",4.78,6.44,11.22,0,0,0,0,0,0
"NE",8.5,23.2,31.7,0.0102,0,0.00273501577287066,0.0867,0,0.0867
"SE",4.6,18.07,22.67,0.0027,0,0.000546978385531539,0.0124,0,0.0124
"SW",1.56,4.44,6,0,0,0,0,0,0
"FC",4.91,13.98,18.89,0.0045,0,0.00116993118051879,0.0221,0,0.0221
"LV",5.17,41.5,46.67,0,0,0,0,0,0
"BE",9.7,37.6,47.3,0,0.0055,0.00437209302325581,0,0.2068,0.2068
"BC",NA,27.2,27.2,NA,0.0079,0.00790073529411765,0,0.2149,0.2149
