"zone","year","week","spp","n_trap","mosq","abund","pir","pir_lci","pir_uci","vi","vi_lci","vi_uci"
"SE",2015,29,"Pipiens",18,415,23.1,0,0,0.00793649921883818,0,0,0.1833
"SW",2015,29,"Pipiens",10,85,8.5,0,0,0.0301856535901057,0,0,0.2566
"LV",2015,29,"Tarsalis",6,1089,181.5,0.000919496963105255,5.32272714470687e-05,0.00449216525908606,0.1669,0.0097,0.8153
"LV",2015,29,"Pipiens",6,30,5,0,0,0.0740388938731524,0,0,0.3702
"NW",2015,29,"Tarsalis",11,413,37.5,0,0,0.00789316366816491,0,0,0.296
"SW",2015,29,"Tarsalis",10,344,34.4,0,0,0.00922096604028995,0,0,0.3172
"LV",2015,30,"Tarsalis",6,1303,217.2,0.00322277820742258,0.00105824484877222,0.00777105866000203,0.7,0.2299,1.6879
"LV",2015,30,"Pipiens",6,15,2.5,0,0,0.156310614670313,0,0,0.3908
"SE",2015,30,"Tarsalis",18,2019,112.2,0.00152475603029436,0.000402172273061268,0.00414549787014631,0.1711,0.0451,0.4651
"SE",2015,30,"Pipiens",18,560,31.1,0.00574728680174467,0.00154463695425764,0.0157453736109469,0.1787,0.048,0.4897
"NE",2015,30,"Tarsalis",14,1786,127.6,0.000560283539853308,3.23076811034606e-05,0.002726041162869,0.0715,0.0041,0.3478
"NE",2015,30,"Pipiens",14,329,23.5,0,0,0.00981900205630856,0,0,0.2307
"NW",2015,30,"Tarsalis",11,681,61.9,0.00145483377311085,8.53756938452087e-05,0.00707159466736203,0.0901,0.0053,0.4377
"NW",2015,30,"Pipiens",11,173,15.7,0,0,0.0166521342124896,0,0,0.2614
"SW",2015,30,"Tarsalis",10,327,32.7,0,0,0.00977035188846414,0,0,0.3195
"SW",2015,30,"Pipiens",10,82,8.2,0,0,0.0304153329428889,0,0,0.2494
"LV",2015,31,"Tarsalis",6,499,83.2,0.0064723280405695,0.00176337531308507,0.0177176552067639,0.5385,0.1467,1.4741
"LV",2015,31,"Pipiens",6,15,2.5,0,0,0.168864439491019,0,0,0.4222
"SE",2015,31,"Tarsalis",18,742,41.2,0.0027288287370476,0.000497952530141578,0.00893927442623066,0.1124,0.0205,0.3683
"SE",2015,31,"Pipiens",18,233,12.9,0.00435515221153656,0.000254341277879624,0.0216650474949038,0.0562,0.0033,0.2795
"NE",2015,31,"Tarsalis",14,1390,99.3,0.00476262005769856,0.00196017029816347,0.00999818042216307,0.4729,0.1946,0.9928
"NE",2015,31,"Pipiens",14,591,42.2,0,0,0.00575941359227089,0,0,0.243
"NW",2015,31,"Tarsalis",11,417,37.9,0,0,0.00776142949012657,0,0,0.2942
"NW",2015,31,"Pipiens",11,216,19.6,0.0183533287478695,0.00471047360702991,0.056659351233257,0.3597,0.0923,1.1105
"SW",2015,31,"Tarsalis",10,279,27.9,0,0,0.0111551065454435,0,0,0.3112
"SW",2015,31,"Pipiens",10,117,11.7,0.00957089407248665,0.000535777110456795,0.0545859088587702,0.112,0.0063,0.6387
"LV",2015,32,"Tarsalis",6,234,39,0,0,0.0125942430926985,0,0,0.4912
"LV",2015,32,"Pipiens",6,22,3.7,0,0,0.112833271709272,0,0,0.4175
"SE",2015,32,"Tarsalis",16,340,21.2,0,0,0.00972050535809716,0,0,0.2061
"SE",2015,32,"Pipiens",16,318,19.9,0.0103627727013893,0.0028252919558343,0.0285454560514352,0.2062,0.0562,0.5681
"NE",2015,32,"Tarsalis",14,572,40.9,0.00175777403922258,0.000102293903112994,0.00867702505102896,0.0719,0.0042,0.3549
"NE",2015,32,"Pipiens",14,241,17.2,0.00891242851269095,0.00163104058156474,0.029899599170578,0.1533,0.0281,0.5143
"NW",2015,32,"Tarsalis",10,279,27.9,0.00369179963485339,0.000213613543408556,0.0187685075993312,0.103,0.006,0.5236
"NW",2015,32,"Pipiens",10,238,23.8,0,0,0.0128442970842599,0,0,0.3057
"SW",2015,32,"Tarsalis",4,31,7.8,0,0,0.0665012870931975,0,0,0.5187
"SW",2015,32,"Pipiens",4,7,1.8,0,0,0.280018298963727,0,0,0.504
"SE",2015,33,"Pipiens",22,403,18.3,0.0206643514993323,0.00841046346374263,0.046140810718999,0.3782,0.1539,0.8444
"SE",2015,33,"Tarsalis",22,132,6,0,0,0.0231111451171846,0,0,0.1387
"SW",2015,33,"Tarsalis",12,24,2,0,0,0.119308022136425,0,0,0.2386
