"zone","week","year","spp","mosq_L","trap_L","abund","pir","pir_lci","pir_uci","vi","vi_lci","vi_uci"
"NW","30","2014","Pipiens",44,9,4.89,0,0,0.0215,0,0,0.1051
"NW","30","2014","Tarsalis",824,9,91.56,0,0,0.0042,0,0,0.3846
"NW","30","2014","All",868,9,96.45,0,0,0.0050772420943494,0,0,0.4897
"NE","30","2014","Pipiens",170,10,17,0,0,0.0157,0,0,0.2669
"NE","30","2014","Tarsalis",2194,10,219.4,0,0,0.0017,0,0,0.373
"NE","30","2014","All",2364,10,236.4,0,0,0.00270685279187817,0,0,0.6399
"SE","30","2014","Pipiens",130,15,8.67,0,0,0.0086,0,0,0.0746
"SE","30","2014","Tarsalis",3075,15,205,0.001,3e-04,0.0027,0.205,0.0615,0.5535
"SE","30","2014","All",3205,15,213.67,0.000959423409931202,0.000287827022979361,0.00293957972574531,0.205,0.0615,0.6281
"SW","30","2014","Pipiens",24,9,2.67,0,0,0.0198,0,0,0.0529
"SW","30","2014","Tarsalis",431,9,47.89,0,0,0.0075,0,0,0.3592
"SW","30","2014","All",455,9,50.56,0,0,0.00815071202531646,0,0,0.4121
"FC","30","2014","Pipiens",368,43,8.56,0,0,0.0043,0,0,0.0368
"FC","30","2014","Tarsalis",6524,43,151.72,5e-04,1e-04,0.0013,0.0759,0.0152,0.1972
"FC","30","2014","All",6892,43,160.28,0.000473546293985525,9.48340404292488e-05,0.00145994509608186,0.0759,0.0152,0.234
"LV","30","2014","Pipiens",57,6,9.5,0,0,0.0391,0,0,0.3714
"LV","30","2014","Tarsalis",1255,6,209.17,0.0016,3e-04,0.0054,0.3347,0.0628,1.1295
"LV","30","2014","All",1312,6,218.67,0.00153061691132757,0.000287190744043536,0.00686376732062011,0.3347,0.0628,1.5009
"NW","24","2015","Pipiens",8,9,0.89,0,0,0.2069,0,0,0.1841
"NW","24","2015","Tarsalis",19,9,2.11,0,0,0.1109,0,0,0.234
"NW","24","2015","All",27,9,3,0,0,0.139366666666667,0,0,0.4181
"NE","24","2015","Pipiens",10,10,1,0,0,0.1132,0,0,0.1132
"NE","24","2015","Tarsalis",121,10,12.1,0,0,0.0222,0,0,0.2686
"NE","24","2015","All",131,10,13.1,0,0,0.0291450381679389,0,0,0.3818
"SE","24","2015","Pipiens",5,15,0.33,0,0,0.0225,0,0,0.0074
"SE","24","2015","Tarsalis",78,15,5.2,0,0,0.0368,0,0,0.1914
"SE","24","2015","All",83,15,5.53,0,0,0.0359493670886076,0,0,0.1988
"SW","24","2015","Pipiens",12,9,1.33,0,0,0.1233,0,0,0.164
"SW","24","2015","Tarsalis",38,9,4.22,0,0,0.0731,0,0,0.3085
"SW","24","2015","All",50,9,5.55,0,0,0.0851351351351351,0,0,0.4725
"FC","24","2015","Pipiens",35,43,0.81,0,0,0.0178,0,0,0.0144
"FC","24","2015","Tarsalis",256,43,5.95,0,0,0.013,0,0,0.0774
"FC","24","2015","All",291,43,6.76,0,0,0.0135798816568047,0,0,0.0918
"LV","24","2015","Tarsalis",68,6,11.33,0,0,0.034,0,0,0.3852
"LV","24","2015","All",68,6,11.33,0,0,0.0339982347749338,0,0,0.3852
"NW","25","2015","Pipiens",8,9,0.89,0,0,0.0985,0,0,0.0877
"NW","25","2015","Tarsalis",192,9,21.33,0,0,0.0154,0,0,0.3285
"NW","25","2015","All",200,9,22.22,0,0,0.0187308730873087,0,0,0.4162
"NE","25","2015","Pipiens",36,10,3.6,0,0,0.0381,0,0,0.1372
"NE","25","2015","Tarsalis",577,10,57.7,0,0,0.0058,0,0,0.3347
"NE","25","2015","All",613,10,61.3,0,0,0.00769820554649266,0,0,0.4719
"SE","25","2015","Pipiens",16,15,1.07,0,0,0.0255,0,0,0.0273
"SE","25","2015","Tarsalis",1039,15,69.27,0,0,0.0034,0,0,0.2355
"SE","25","2015","All",1055,15,70.34,0,0,0.00373613875462042,0,0,0.2628
"SW","25","2015","Pipiens",5,9,0.56,0,0,0.2016,0,0,0.1129
"SW","25","2015","Tarsalis",157,9,17.44,0,0,0.019,0,0,0.3314
"SW","25","2015","All",162,9,18,0,0,0.0246833333333333,0,0,0.4443
"FC","25","2015","Pipiens",65,43,1.51,0,0,0.0154,0,0,0.0233
"FC","25","2015","Tarsalis",1965,43,45.7,0,0,0.0019,0,0,0.0868
"FC","25","2015","All",2030,43,47.21,0,0,0.00233213302266469,0,0,0.1101
"LV","25","2015","Tarsalis",1482,6,247,0,0,0.0024,0,0,0.5928
"LV","25","2015","All",1482,6,247,0,0,0.0024,0,0,0.5928
"NW","26","2015","Pipiens",25,9,2.78,0,0,0.0548,0,0,0.1523
"NW","26","2015","Tarsalis",290,9,32.22,0,0,0.0106,0,0,0.3415
"NW","26","2015","All",315,9,35,0,0,0.0141085714285714,0,0,0.4938
"NE","26","2015","Pipiens",20,10,2,0,0,0.0214,0,0,0.0428
"NE","26","2015","Tarsalis",776,10,77.6,0.0013,1e-04,0.0062,0.1009,0.0078,0.4811
"NE","26","2015","All",796,10,79.6,0.00126758793969849,9.79899497487437e-05,0.00658165829145729,0.1009,0.0078,0.5239
"SE","26","2015","Pipiens",52,15,3.47,0.0031,2e-04,0.0154,0.0108,7e-04,0.0534
"SE","26","2015","Tarsalis",1006,15,67.07,0,0,0.0035,0,0,0.2347
"SE","26","2015","All",1058,15,70.54,0.000153104621491352,9.92344768925433e-06,0.00408420754182024,0.0108,7e-04,0.2881
"SW","26","2015","Pipiens",7,9,0.78,0,0,0.0963,0,0,0.0751
"SW","26","2015","Tarsalis",90,9,10,0,0,0.0328,0,0,0.328
"SW","26","2015","All",97,9,10.78,0,0,0.0373933209647495,0,0,0.4031
"FC","26","2015","Pipiens",104,43,2.42,0.0019,1e-04,0.0094,0.0046,2e-04,0.0227
"FC","26","2015","Tarsalis",2162,43,50.28,5e-04,0,0.0022,0.0251,0,0.1106
"FC","26","2015","All",2266,43,52.7,0.000563567362428843,3.79506641366224e-06,0.00252941176470588,0.0297,2e-04,0.1333
"LV","26","2015","Pipiens",14,6,2.33,0,0,0.1742,0,0,0.4059
"LV","26","2015","Tarsalis",587,6,97.83,0,0,0.0057,0,0,0.5576
"LV","26","2015","All",601,6,100.16,0,0,0.00961960862619808,0,0,0.9635
"NW","27","2015","Pipiens",51,9,5.67,0,0,0.0403,0,0,0.2285
"NW","27","2015","Tarsalis",107,9,11.89,0,0,0.0244,0,0,0.2901
"NW","27","2015","All",158,9,17.56,0,0,0.0295330296127563,0,0,0.5186
"NE","27","2015","Pipiens",92,10,9.2,0,0,0.021,0,0,0.1932
"NE","27","2015","Tarsalis",482,10,48.2,0.0021,1e-04,0.0102,0.1012,0.0048,0.4916
"NE","27","2015","All",574,10,57.4,0.00176306620209059,8.36236933797909e-05,0.0119303135888502,0.1012,0.0048,0.6848
"SE","27","2015","Pipiens",38,15,2.53,0,0,0.0124,0,0,0.0314
"SE","27","2015","Tarsalis",747,15,49.8,0,0,0.0046,0,0,0.2291
"SE","27","2015","All",785,15,52.33,0,0,0.00497802407796675,0,0,0.2605
"SW","27","2015","Pipiens",10,9,1.11,0,0,0.062,0,0,0.0688
"SW","27","2015","Tarsalis",61,9,6.78,0,0,0.0473,0,0,0.3207
"SW","27","2015","All",71,9,7.89,0,0,0.0493662864385298,0,0,0.3895
"FC","27","2015","Pipiens",191,43,4.44,0,0,0.0072,0,0,0.032
"FC","27","2015","Tarsalis",1397,43,32.49,7e-04,0,0.0035,0.0227,0,0.1137
"FC","27","2015","All",1588,43,36.93,0.000614676414838884,0,0.00394530192255619,0.0227,0,0.1457
"LV","27","2015","Pipiens",15,6,2.5,0,0,0.144,0,0,0.36
"LV","27","2015","Tarsalis",1224,6,204,0,0,0.0029,0,0,0.5916
"LV","27","2015","All",1239,6,206.5,0,0,0.00460823244552058,0,0,0.9516
"NW","28","2015","Pipiens",68,9,7.56,0,0,0.0199,0,0,0.1504
"NW","28","2015","Tarsalis",235,9,26.11,0,0,0.0126,0,0,0.329
"NW","28","2015","All",303,9,33.67,0,0,0.0142381942381942,0,0,0.4794
"NE","28","2015","Pipiens",84,10,8.4,0,0,0.0081,0,0,0.068
"NE","28","2015","Tarsalis",1137,10,113.7,9e-04,1e-04,0.0043,0.1023,0.0114,0.4889
"NE","28","2015","All",1221,10,122.1,0.000837837837837838,9.33660933660934e-05,0.00456101556101556,0.1023,0.0114,0.5569
"SE","28","2015","Pipiens",113,15,7.53,0,0,0.012,0,0,0.0904
"SE","28","2015","Tarsalis",1886,15,125.73,0.0016,4e-04,0.0044,0.2012,0.0503,0.5532
"SE","28","2015","All",1999,15,133.26,0.0015098304067237,0.000377457601680925,0.00482965631097104,0.2012,0.0503,0.6436
"SW","28","2015","Pipiens",23,9,2.56,0,0,0.0503,0,0,0.1288
"SW","28","2015","Tarsalis",83,9,9.22,0,0,0.0358,0,0,0.3301
"SW","28","2015","All",106,9,11.78,0,0,0.038955857385399,0,0,0.4589
"FC","28","2015","Pipiens",288,43,6.7,0,0,0.0042,0,0,0.0281
"FC","28","2015","Tarsalis",3341,43,77.7,0.0012,4e-04,0.003,0.0932,0.0311,0.2331
"FC","28","2015","All",3629,43,84.4,0.0011042654028436,0.000368483412322275,0.00309478672985782,0.0932,0.0311,0.2612
"LV","28","2015","Pipiens",24,6,4,0,0,0.0764,0,0,0.3056
"LV","28","2015","Tarsalis",1370,6,228.33,0,0,0.0026,0,0,0.5937
"LV","28","2015","All",1394,6,232.33,0,0,0.00387078724228468,0,0,0.8993
"NW","29","2015","Pipiens",103,9,11.44,0.0081,5e-04,0.0437,0.0927,0.0057,0.4999
"NW","29","2015","Tarsalis",413,9,45.89,0,0,0.0079,0,0,0.3625
"NW","29","2015","All",516,9,57.33,0.00161695447409733,9.94243851386709e-05,0.015042735042735,0.0927,0.0057,0.8624
"NE","29","2015","Pipiens",95,10,9.5,0,0,0.0071,0,0,0.0675
"NE","29","2015","Tarsalis",918,10,91.8,0,0,0.0038,0,0,0.3488
"NE","29","2015","All",1013,10,101.3,0,0,0.00410957551826259,0,0,0.4163
"SE","29","2015","Pipiens",149,15,9.93,0,0,0.0079,0,0,0.0784
"SE","29","2015","Tarsalis",1623,15,108.2,0,0,0.0022,0,0,0.238
"SE","29","2015","All",1772,15,118.13,0,0,0.00267840514687209,0,0,0.3164
"SW","29","2015","Pipiens",49,9,5.44,0,0,0.0302,0,0,0.1643
"SW","29","2015","Tarsalis",344,9,38.22,0,0,0.0092,0,0,0.3516
"SW","29","2015","All",393,9,43.66,0,0,0.011816307833257,0,0,0.5159
"FC","29","2015","Pipiens",396,43,9.21,9e-04,1e-04,0.0045,0.0083,9e-04,0.0414
"FC","29","2015","Tarsalis",3298,43,76.7,0,0,0.0011,0,0,0.0844
"FC","29","2015","All",3694,43,85.91,9.66127342567804e-05,1.04760796182051e-05,0.00146432312885578,0.0083,9e-04,0.1258
"LV","29","2015","Pipiens",30,6,5,0,0,0.074,0,0,0.37
"LV","29","2015","Tarsalis",1089,6,181.5,9e-04,1e-04,0.0045,0.1634,0.0181,0.8168
"LV","29","2015","All",1119,6,186.5,0.000876139410187668,9.70509383378016e-05,0.00636353887399464,0.1634,0.0181,1.1868
"NW","30","2015","Pipiens",105,9,11.67,0,0,0.0167,0,0,0.1949
"NW","30","2015","Tarsalis",680,9,75.56,0.0015,1e-04,0.0071,0.1133,0.0076,0.5365
"NW","30","2015","All",785,9,87.23,0.00129886506935687,8.7125988765333e-05,0.00838473002407429,0.1133,0.0076,0.7314
"NE","30","2015","Pipiens",130,10,13,0,0,0.0098,0,0,0.1274
"NE","30","2015","Tarsalis",1780,10,178,6e-04,0,0.0027,0.1068,0,0.4806
"NE","30","2015","All",1910,10,191,0.000559162303664922,0,0.00318324607329843,0.1068,0,0.608
"SE","30","2015","Pipiens",210,15,14,0.0057,0.0015,0.0157,0.0798,0.021,0.2198
"SE","30","2015","Tarsalis",2012,15,134.13,0.0015,4e-04,0.0041,0.2012,0.0537,0.5499
"SE","30","2015","All",2222,15,148.13,0.00189698238034159,0.000504286775129953,0.00519611152366165,0.281,0.0747,0.7697
"SW","30","2015","Pipiens",38,9,4.22,0,0,0.0304,0,0,0.1283
"SW","30","2015","Tarsalis",327,9,36.33,0,0,0.0098,0,0,0.356
"SW","30","2015","All",365,9,40.55,0,0,0.0119432799013564,0,0,0.4843
"FC","30","2015","Pipiens",483,43,11.23,0.0027,7e-04,0.0074,0.0303,0.0079,0.0831
"FC","30","2015","Tarsalis",4799,43,111.6,0.0011,4e-04,0.0023,0.1228,0.0446,0.2567
"FC","30","2015","All",5282,43,122.83,0.00124643816657168,0.000427420011397867,0.002766425140438,0.1531,0.0525,0.3398
"LV","30","2015","Pipiens",15,6,2.5,0,0,0.1563,0,0,0.3908
"LV","30","2015","Tarsalis",1303,6,217.17,0.0032,0.0011,0.0078,0.6949,0.2389,1.6939
"LV","30","2015","All",1318,6,219.67,0.00316338143579005,0.00108754040151136,0.00949014430737015,0.6949,0.2389,2.0847
"NW","31","2015","Pipiens",93,9,10.33,0.0184,0.0047,0.0567,0.1901,0.0486,0.5857
"NW","31","2015","Tarsalis",416,9,46.22,0,0,0.0078,0,0,0.3605
"NW","31","2015","All",509,9,56.55,0.00336162687886826,0.000859416445623342,0.0167320954907162,0.1901,0.0486,0.9462
"NE","31","2015","Pipiens",163,10,16.3,0,0,0.0058,0,0,0.0945
"NE","31","2015","Tarsalis",1388,10,138.8,0.0048,0.002,0.01,0.6662,0.2776,1.388
"NE","31","2015","All",1551,10,155.1,0.00429529335912315,0.00178981302385558,0.00955834945196647,0.6662,0.2776,1.4825
"SE","31","2015","Pipiens",142,15,9.47,0.0044,3e-04,0.0217,0.0417,0.0028,0.2055
"SE","31","2015","Tarsalis",740,15,49.33,0.0027,5e-04,0.0089,0.1332,0.0247,0.439
"SE","31","2015","All",882,15,58.8,0.00297448979591837,0.000467687074829932,0.0109608843537415,0.1749,0.0275,0.6445
"SW","31","2015","Pipiens",67,9,7.44,0.0096,5e-04,0.0546,0.0714,0.0037,0.4062
"SW","31","2015","Tarsalis",278,9,30.89,0,0,0.0112,0,0,0.346
"SW","31","2015","All",345,9,38.33,0.00186277067571093,9.65301330550483e-05,0.0196243151578398,0.0714,0.0037,0.7522
"FC","31","2015","Pipiens",465,43,10.81,0.0047,0.0017,0.0104,0.0508,0.0184,0.1124
"FC","31","2015","Tarsalis",2822,43,65.63,0.003,0.0014,0.0057,0.1969,0.0919,0.3741
"FC","31","2015","All",3287,43,76.44,0.00324045002616431,0.00144296180010466,0.00636446886446886,0.2477,0.1103,0.4865
"LV","31","2015","Pipiens",15,6,2.5,0,0,0.1689,0,0,0.4222
"LV","31","2015","Tarsalis",499,6,83.17,0.0065,0.0018,0.0177,0.5406,0.1497,1.4721
"LV","31","2015","All",514,6,85.67,0.0063102603011556,0.00174740282479281,0.0221115909886775,0.5406,0.1497,1.8943
"NW","32","2015","Pipiens",102,9,11.33,0,0,0.0128,0,0,0.145
"NW","32","2015","Tarsalis",279,9,31,0.0037,2e-04,0.0188,0.1147,0.0062,0.5828
"NW","32","2015","All",381,9,42.33,0.00270966217812426,0.000146468225844555,0.0171934798015592,0.1147,0.0062,0.7278
"NE","32","2015","Pipiens",114,10,11.4,0.0089,0.0016,0.0299,0.1015,0.0182,0.3409
"NE","32","2015","Tarsalis",569,10,56.9,0.0018,1e-04,0.0087,0.1024,0.0057,0.495
"NE","32","2015","All",683,10,68.3,0.00298535871156662,0.000349926793557833,0.0122386530014641,0.2039,0.0239,0.8359
"SE","32","2015","Pipiens",146,15,9.73,0.0104,0.0028,0.0285,0.1012,0.0272,0.2773
"SE","32","2015","Tarsalis",340,15,22.67,0,0,0.0097,0,0,0.2199
"SE","32","2015","All",486,15,32.4,0.00312345679012346,0.000839506172839506,0.0153456790123457,0.1012,0.0272,0.4972
"SW","32","2015","Pipiens",7,9,0.78,0,0,0.28,0,0,0.2184
"SW","32","2015","Tarsalis",31,9,3.44,0,0,0.0665,0,0,0.2288
"SW","32","2015","All",38,9,4.22,0,0,0.105971563981043,0,0,0.4472
"FC","32","2015","Pipiens",369,43,8.58,0.0067,0.0025,0.0149,0.0575,0.0215,0.1278
"FC","32","2015","Tarsalis",1219,43,28.35,0.0017,3e-04,0.0056,0.0482,0.0085,0.1588
"FC","32","2015","All",1588,43,36.93,0.00286217167614406,0.000812347684809098,0.00776062821554292,0.1057,0.03,0.2866
"LV","32","2015","Pipiens",22,6,3.67,0,0,0.1128,0,0,0.414
"LV","32","2015","Tarsalis",234,6,39,0,0,0.0126,0,0,0.4914
"LV","32","2015","All",256,6,42.67,0,0,0.0212186547925943,0,0,0.9054
"NW","33","2015","Pipiens",42,9,4.67,0.0175,0.0012,0.0814,0.0817,0.0056,0.3801
"NW","33","2015","Tarsalis",30,9,3.33,0,0,0.079,0,0,0.2631
"NW","33","2015","All",72,9,8,0.0102125,7e-04,0.0804,0.0817,0.0056,0.6432
"NE","33","2015","Pipiens",141,10,14.1,0.0098,0.0032,0.0247,0.1382,0.0451,0.3483
"NE","33","2015","Tarsalis",127,10,12.7,0,0,0.0241,0,0,0.3061
"NE","33","2015","All",268,10,26.8,0.00515671641791045,0.00168283582089552,0.0244179104477612,0.1382,0.0451,0.6544
"SE","33","2015","Pipiens",111,15,7.4,0.0207,0.0084,0.0461,0.1532,0.0622,0.3411
"SE","33","2015","Tarsalis",132,15,8.8,0,0,0.0231,0,0,0.2033
"SE","33","2015","All",243,15,16.2,0.00945679012345679,0.0038395061728395,0.0336049382716049,0.1532,0.0622,0.5444
"SW","33","2015","Pipiens",24,9,2.67,0,0,0.0393,0,0,0.1049
"SW","33","2015","Tarsalis",24,9,2.67,0,0,0.1193,0,0,0.3185
"SW","33","2015","All",48,9,5.34,0,0,0.0792883895131086,0,0,0.4234
"FC","33","2015","Pipiens",318,43,7.4,0.0139,0.0073,0.0248,0.1029,0.054,0.1835
"FC","33","2015","Tarsalis",313,43,7.28,0,0,0.0111,0,0,0.0808
"FC","33","2015","All",631,43,14.68,0.00700953678474114,0.00367847411444142,0.0180040871934605,0.1029,0.054,0.2643
"LV","33","2015","Pipiens",23,6,3.83,0,0,0.0987,0,0,0.378
"LV","33","2015","Tarsalis",76,6,12.67,0,0,0.0328,0,0,0.4156
"LV","33","2015","All",99,6,16.5,0,0,0.0480969696969697,0,0,0.7936
"NW","34","2015","Pipiens",53,9,5.89,0.018,0.0081,0.0377,0.106,0.0477,0.2221
"NW","34","2015","Tarsalis",95,9,10.56,0,0,0.03,0,0,0.3168
"NW","34","2015","All",148,9,16.45,0.00644376899696049,0.00289969604863222,0.0327598784194529,0.106,0.0477,0.5389
"NE","34","2015","Pipiens",101,10,10.1,0.0159,0.0042,0.0469,0.1606,0.0424,0.4737
"NE","34","2015","Tarsalis",72,10,7.2,0,0,0.0405,0,0,0.2916
"NE","34","2015","All",173,10,17.3,0.00928323699421965,0.00245086705202312,0.0442369942196532,0.1606,0.0424,0.7653
"SE","34","2015","Pipiens",189,15,12.6,0.0158,0.008,0.0293,0.1991,0.1008,0.3692
"SE","34","2015","Tarsalis",162,15,10.8,0.0061,4e-04,0.0295,0.0659,0.0043,0.3186
"SE","34","2015","All",351,15,23.4,0.0113247863247863,0.00449145299145299,0.0293931623931624,0.265,0.1051,0.6878
"SW","34","2015","Pipiens",33,9,3.67,0.0236,0.004,0.1043,0.0866,0.0147,0.3828
"SW","34","2015","Tarsalis",79,9,8.78,0,0,0.0381,0,0,0.3345
"SW","34","2015","All",112,9,12.45,0.00695582329317269,0.00118072289156627,0.0576144578313253,0.0866,0.0147,0.7173
"FC","34","2015","Pipiens",376,43,8.74,0.0177,0.0113,0.027,0.1547,0.0988,0.236
"FC","34","2015","Tarsalis",408,43,9.49,0.0024,1e-04,0.0118,0.0228,9e-04,0.112
"FC","34","2015","All",784,43,18.23,0.00973669775095995,0.00546900713110258,0.0190894130554032,0.1775,0.0997,0.348
"LV","34","2015","Pipiens",37,6,6.17,0,0,0.0691,0,0,0.4263
"LV","34","2015","Tarsalis",146,6,24.33,0,0,0.0182,0,0,0.4428
"LV","34","2015","All",183,6,30.5,0,0,0.0284950819672131,0,0,0.8691
"NW","35","2015","Pipiens",26,9,2.89,0.046,0.0146,0.1522,0.1329,0.0422,0.4399
"NW","35","2015","Tarsalis",22,9,2.44,0,0,0.1117,0,0,0.2725
"NW","35","2015","All",48,9,5.33,0.0249343339587242,0.00791744840525328,0.133658536585366,0.1329,0.0422,0.7124
"NE","35","2015","Pipiens",141,10,14.1,0.021,0.0086,0.0467,0.2961,0.1213,0.6585
"NE","35","2015","Tarsalis",113,10,11.3,0.0086,5e-04,0.0407,0.0972,0.0057,0.4599
"NE","35","2015","All",254,10,25.4,0.0154842519685039,0.005,0.0440314960629921,0.3933,0.127,1.1184
"SE","35","2015","Pipiens",187,15,12.47,0.0218,0.0095,0.0462,0.2718,0.1185,0.5761
"SE","35","2015","Tarsalis",72,15,4.8,0.0291,0.0053,0.094,0.1397,0.0254,0.4512
"SE","35","2015","All",259,15,17.27,0.0238274464389114,0.008332368268674,0.0594846554719166,0.4115,0.1439,1.0273
"SW","35","2015","Pipiens",11,9,1.22,0.0158,0.0029,0.0623,0.0193,0.0035,0.076
"SW","35","2015","Tarsalis",45,9,5,0,0,0.0495,0,0,0.2475
"SW","35","2015","All",56,9,6.22,0.00310289389067524,0.000562700964630225,0.0520096463022508,0.0193,0.0035,0.3235
"FC","35","2015","Pipiens",365,43,8.49,0.0247,0.0152,0.0393,0.2097,0.129,0.3337
"FC","35","2015","Tarsalis",252,43,5.86,0.012,0.0033,0.0319,0.0703,0.0193,0.1869
"FC","35","2015","All",617,43,14.35,0.0195121951219512,0.0103344947735192,0.0362787456445993,0.28,0.1483,0.5206
"LV","35","2015","Pipiens",4,6,0.67,0,0,0.3918,0,0,0.2625
"LV","35","2015","Tarsalis",118,6,19.67,0.0193,0.0039,0.0669,0.3796,0.0767,1.3159
"LV","35","2015","All",122,6,20.34,0.0186627335299902,0.0037708947885939,0.0776007866273353,0.3796,0.0767,1.5784
"NW","37","2015","Pipiens",18,9,2,0,0,0.0795,0,0,0.159
"NW","37","2015","Tarsalis",12,9,1.33,0,0,0.2132,0,0,0.2836
"NW","37","2015","All",30,9,3.33,0,0,0.132912912912913,0,0,0.4426
"NE","37","2015","Pipiens",92,10,9.2,0.0055,3e-04,0.0289,0.0506,0.0028,0.2659
"NE","37","2015","Tarsalis",16,10,1.6,0,0,0.1595,0,0,0.2552
"NE","37","2015","All",108,10,10.8,0.00468518518518519,0.000259259259259259,0.04825,0.0506,0.0028,0.5211
"SE","37","2015","Pipiens",108,15,7.2,0.0038,2e-04,0.0183,0.0274,0.0014,0.1318
"SE","37","2015","Tarsalis",4,15,0.27,0,0,0.4507,0,0,0.1217
"SE","37","2015","All",112,15,7.47,0.00366800535475234,0.000187416331994645,0.0339357429718875,0.0274,0.0014,0.2535
"SW","37","2015","Tarsalis",8,9,0.89,0,0,0.2527,0,0,0.2249
"SW","37","2015","All",8,9,0.89,0,0,0.252696629213483,0,0,0.2249
"FC","37","2015","Pipiens",218,43,5.07,0.0042,8e-04,0.0141,0.0213,0.0041,0.0715
"FC","37","2015","Tarsalis",40,43,0.93,0,0,0.0802,0,0,0.0746
"FC","37","2015","All",258,43,6,0.00355,0.000683333333333333,0.02435,0.0213,0.0041,0.1461
"NW","24","2016","Pipiens",7,9,0.78,0,0,0.2875,0,0,0.2242
"NW","24","2016","Tarsalis",3,9,0.33,0,0,0.4089,0,0,0.1349
"NW","24","2016","All",10,9,1.11,0,0,0.323513513513513,0,0,0.3591
"NE","24","2016","Pipiens",4,10,0.4,0,0,0.0705,0,0,0.0282
"NE","24","2016","Tarsalis",15,10,1.5,0,0,0.1696,0,0,0.2544
"NE","24","2016","All",19,10,1.9,0,0,0.148736842105263,0,0,0.2826
"SE","24","2016","Pipiens",8,15,0.53,0,0,0.059,0,0,0.0313
"SE","24","2016","Tarsalis",19,15,1.27,0,0,0.1448,0,0,0.1839
"SE","24","2016","All",27,15,1.8,0,0,0.119555555555556,0,0,0.2152
"SW","24","2016","Pipiens",2,9,0.22,0,0,0.1608,0,0,0.0354
"SW","24","2016","Tarsalis",2,9,0.22,0,0,0.5455,0,0,0.12
"SW","24","2016","All",4,9,0.44,0,0,0.353181818181818,0,0,0.1554
"FC","24","2016","Pipiens",21,43,0.49,0,0,0.0336,0,0,0.0165
"FC","24","2016","Tarsalis",39,43,0.91,0,0,0.0812,0,0,0.0739
"FC","24","2016","All",60,43,1.4,0,0,0.0645714285714286,0,0,0.0904
"LV","24","2016","Pipiens",4,6,0.67,0,0,0.3259,0,0,0.2184
"LV","24","2016","Tarsalis",43,6,7.17,0,0,0.0591,0,0,0.4237
"LV","24","2016","All",47,6,7.84,0,0,0.0819005102040816,0,0,0.6421
"NW","25","2016","Pipiens",8,9,0.89,0,0,0.1226,0,0,0.1091
"NW","25","2016","Tarsalis",17,9,1.89,0,0,0.148,0,0,0.2797
"NW","25","2016","All",25,9,2.78,0,0,0.139856115107914,0,0,0.3888
"NE","25","2016","Pipiens",32,10,3.2,0,0,0.0385,0,0,0.1232
"NE","25","2016","Tarsalis",98,10,9.8,0,0,0.0287,0,0,0.2813
"NE","25","2016","All",130,10,13,0,0,0.0311153846153846,0,0,0.4045
"SE","25","2016","Pipiens",10,15,0.67,0,0,0.0395,0,0,0.0265
"SE","25","2016","Tarsalis",128,15,8.53,0,0,0.0224,0,0,0.1911
"SE","25","2016","All",138,15,9.2,0,0,0.0236521739130435,0,0,0.2176
"SW","25","2016","Pipiens",5,9,0.56,0,0,0.0667,0,0,0.0374
"SW","25","2016","Tarsalis",20,9,2.22,0,0,0.1109,0,0,0.2462
"SW","25","2016","All",25,9,2.78,0,0,0.102014388489209,0,0,0.2836
"FC","25","2016","Pipiens",55,43,1.28,0,0,0.0176,0,0,0.0225
"FC","25","2016","Tarsalis",263,43,6.12,0,0,0.0127,0,0,0.0777
"FC","25","2016","All",318,43,7.4,0,0,0.0135405405405405,0,0,0.1002
"LV","25","2016","Pipiens",2,6,0.33,0,0,0.5455,0,0,0.18
"LV","25","2016","Tarsalis",316,6,52.67,0,0,0.0098,0,0,0.5162
"LV","25","2016","All",318,6,53,0,0,0.0131358490566038,0,0,0.6962
"NW","26","2016","Pipiens",22,9,2.44,0,0,0.0736,0,0,0.1796
"NW","26","2016","Tarsalis",38,9,4.22,0,0,0.0705,0,0,0.2975
"NW","26","2016","All",60,9,6.66,0,0,0.0716366366366366,0,0,0.4771
"NE","26","2016","Pipiens",53,10,5.3,0,0,0.0176,0,0,0.0933
"NE","26","2016","Tarsalis",145,10,14.5,0,0,0.0201,0,0,0.2914
"NE","26","2016","All",198,10,19.8,0,0,0.0194292929292929,0,0,0.3847
"SE","26","2016","Pipiens",39,15,2.6,0,0,0.02,0,0,0.052
"SE","26","2016","Tarsalis",367,15,24.47,0,0,0.0087,0,0,0.2129
"SE","26","2016","All",406,15,27.07,0,0,0.00978574067233099,0,0,0.2649
"SW","26","2016","Pipiens",11,9,1.22,0,0,0.0835,0,0,0.1019
"SW","26","2016","Tarsalis",30,9,3.33,0,0,0.0928,0,0,0.309
"SW","26","2016","All",41,9,4.55,0,0,0.0903076923076923,0,0,0.4109
"FC","26","2016","Pipiens",125,43,2.91,0,0,0.0091,0,0,0.0265
"FC","26","2016","Tarsalis",580,43,13.49,0,0,0.006,0,0,0.0809
"FC","26","2016","All",705,43,16.4,0,0,0.00654878048780488,0,0,0.1074
"LV","26","2016","Pipiens",3,6,0.5,0,0,0.4089,0,0,0.2044
"LV","26","2016","Tarsalis",369,6,61.5,0.0027,2e-04,0.0137,0.166,0.0123,0.8426
