"zone","examined_Pipiens","examined_Tarsalis","examined_All","pool_Pipiens","pool_Tarsalis","pool_All","pos_pool_Pipiens","pos_pool_Tarsalis","pos_pool_All","pir_Pipiens","pir_Tarsalis","pir_All"
"NW",177,126,303,10,10,20,1,2,3,6.1,14.5,10.3015873015873
"NE",142,281,423,11,13,24,2,0,2,15.1,0,3.42936288088643
"SE",235,227,462,14,17,31,2,0,2,8.8,0,3.12960554833117
"SW",44,53,97,7,6,13,0,0,0,0,0,0
"FC",598,687,1285,42,46,88,5,2,7,9.2,2.9,5.07686243594797
"LV",16,303,319,4,10,14,0,2,2,0,7.2,6.83844273086327
"BE",88,560,648,7,21,28,1,1,2,12.9,1.8,3.3070987654321
"BC",0,172,172,0,5,5,0,1,1,NA,6.1,6.09883720930233
