"zone","examined_Pipiens","examined_Tarsalis","examined_All","pool_Pipiens","pool_Tarsalis","pool_all","pos_pool_Pipiens","pos_pool_Tarsalis","pos_pool_all","pir_Pipiens","pir_Tarsalis","pir_All"
"NW",2,11,13,4,3,7,0,0,0,0,0,0
"NE",9,39,48,6,9,15,0,0,0,0,0,0
"SE",8,19,27,8,11,19,0,0,0,0,0,0
"SW",8,10,18,4,4,8,0,0,0,0,0,0
"FC",27,79,106,22,27,49,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LV",2,40,42,2,6,8,0,0,0,0,0,0
"BE",0,8,8,0,3,3,0,0,0,0,0,0
"BC",51,52,103,1,4,5,0,0,0,0,0,0
