date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
9/9/2026,Fort Collins,Golden Current,NW,Culex pipiens,3,CDC Light Trap,FC-011
9/9/2026,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,3,CDC Light Trap,FC-069
9/9/2026,Fort Collins,Linden Lake Rd,NE,Culex pipiens,4,CDC Light Trap,FC-069
9/9/2026,Fort Collins,Linden Lake Rd,NE,Aedes vexans,21,CDC Light Trap,FC-069
9/9/2026,Fort Collins,603 Gilgalad Way,NW,Culex tarsalis,1,CDC Light Trap,FC-052
9/9/2026,Fort Collins,603 Gilgalad Way,NW,Culex pipiens,3,CDC Light Trap,FC-052
9/9/2026,Fort Collins,603 Gilgalad Way,NW,Aedes dorsalis,1,CDC Light Trap,FC-052
9/9/2026,Fort Collins,603 Gilgalad Way,NW,Aedes vexans,35,CDC Light Trap,FC-052
9/9/2026,Fort Collins,Redwood,NE,Aedes vexans,48,CDC Light Trap,FC-040
9/9/2026,Fort Collins,Mountain Grandview Cemetery Gravid,NW,Culex pipiens,173,Gravid Trap,FC-090gr
9/9/2026,Fort Collins,Redwood Gravid,NE,Culex pipiens,19,Gravid Trap,FC-040gr
9/9/2026,Fort Collins,N. Linden,NE,Culex tarsalis,2,CDC Light Trap,FC-006
9/9/2026,Fort Collins,N. Linden,NE,Aedes cinereus,1,CDC Light Trap,FC-006
9/9/2026,Fort Collins,N. Linden,NE,Culex pipiens,16,CDC Light Trap,FC-006
9/9/2026,Fort Collins,N. Linden,NE,Aedes vexans,25,CDC Light Trap,FC-006
9/9/2026,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,65,Gravid Trap,FC-092gr
9/9/2026,Fort Collins,Lochside Lane,NE,Aedes dorsalis,1,CDC Light Trap,FC-038
9/9/2026,Fort Collins,Lochside Lane,NE,Aedes vexans,9,CDC Light Trap,FC-038
9/9/2026,Fort Collins,Lochside Lane,NE,Culex pipiens,32,CDC Light Trap,FC-038
9/9/2026,Fort Collins,Lochside Lane,NE,Culiseta inornata,1,CDC Light Trap,FC-038
9/9/2026,Fort Collins,Lochside Lane,NE,Culex tarsalis,5,CDC Light Trap,FC-038
9/9/2026,Fort Collins,Country Club,NE,Aedes melanimon,1,CDC Light Trap,FC-034
9/9/2026,Fort Collins,Country Club,NE,Culex tarsalis,10,CDC Light Trap,FC-034
9/9/2026,Fort Collins,Country Club,NE,Aedes dorsalis,2,CDC Light Trap,FC-034
9/9/2026,Fort Collins,Country Club,NE,Culiseta inornata,1,CDC Light Trap,FC-034
9/9/2026,Fort Collins,Country Club,NE,Culex pipiens,2,CDC Light Trap,FC-034
9/9/2026,Fort Collins,Country Club,NE,Aedes vexans,12,CDC Light Trap,FC-034
9/9/2026,Fort Collins,FC Visitor Center,NE,Culex tarsalis,11,CDC Light Trap,FC-014
9/9/2026,Fort Collins,FC Visitor Center,NE,Culex pipiens,24,CDC Light Trap,FC-014
9/9/2026,Fort Collins,FC Visitor Center,NE,Aedes dorsalis,7,CDC Light Trap,FC-014
9/9/2026,Fort Collins,FC Visitor Center,NE,Culiseta inornata,1,CDC Light Trap,FC-014
9/9/2026,Fort Collins,Prospect Ponds Gravid,NE,Aedes dorsalis,1,Gravid Trap,FC-066gr
9/9/2026,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,18,Gravid Trap,FC-066gr
9/9/2026,Fort Collins,Prospect Ponds Gravid,NE,Anopheles freeborni,1,Gravid Trap,FC-066gr
9/9/2026,Fort Collins,Red Fox Meadows Gravid,NW,Aedes vexans,4,Gravid Trap,FC-063gr
9/9/2026,Fort Collins,Red Fox Meadows Gravid,NW,Culex pipiens,63,Gravid Trap,FC-063gr
9/9/2026,Fort Collins,422 Lake Dr,NE,Aedes vexans,4,CDC Light Trap,FC-072
9/9/2026,Fort Collins,422 Lake Dr,NE,Culex pipiens,7,CDC Light Trap,FC-072
9/9/2026,Fort Collins,422 Lake Dr,NE,Culex tarsalis,6,CDC Light Trap,FC-072
9/9/2026,Fort Collins,422 Lake Dr,NE,Culiseta inornata,1,CDC Light Trap,FC-072
9/9/2026,Fort Collins,Stuart and Dorset,NW,Culex pipiens,1,CDC Light Trap,FC-015
9/9/2026,Fort Collins,Stuart and Dorset,NW,Aedes vexans,13,CDC Light Trap,FC-015
9/9/2026,Fort Collins,Stuart and Dorset,NW,Culiseta inornata,1,CDC Light Trap,FC-015
9/9/2026,Fort Collins,Fishback,NW,Anopheles freeborni,1,CDC Light Trap,FC-041
9/9/2026,Fort Collins,Fishback,NW,Culex pipiens,15,CDC Light Trap,FC-041
