"Year","CSU Pool Number (CMC Enters)","IDA Pool (CSU Enters, Leave Blank)","Week","Trap Date","County","Account","Collection Site       (Trap ID)","Zone","Method","Genus","Spp","Sex","No. Gravid","No. Deplete","Total","Test Result (CSU Enters)","Test Code (CSU Enters)"
"2026","BOU-00335",,23,"2026-06-02","BC","BC","BC-11","BC","L","Cx.","Tarsalis","F","0","30","30","Negative",0
"2026","BOU-00336",,23,"2026-06-02","BC","BC","BC-11","BC","L","Cx.","Pipiens","F","0","48","48","Negative",0
"2026","BOU-00337",,23,"2026-06-02","BC","BC","BC-24","BC","L","Cx.","Tarsalis","F","0","3","3","Negative",0
"2026","BOU-00338",,23,"2026-06-02","BC","BC","BC-25","BC","L","Cx.","Tarsalis","F","0","8","8","Negative",0
"2026","BOU-00339",,23,"2026-06-02","BC","BC","BC-26","BC","L","Cx.","Tarsalis","F","0","24","24","Negative",0
"2026","CSU-24928",,23,"2026-06-01","LC","LV","LV-095","LV","L","Cx.","Tarsalis","F",,"3","3","Negative",0
"2026","CSU-24929",,23,"2026-06-01","LC","FC","FC-067","NE","L","Cx.","Tarsalis","F",,"1","1","Negative",0
"2026","CSU-24930",,23,"2026-06-01","LC","FC","FC-038","NE","L","Cx.","Tarsalis","F",,"3","3","Negative",0
"2026","CSU-24931",,23,"2026-06-01","LC","FC","FC-038","NE","L","Cx.","Pipiens","F",,"2","2","Negative",0
"2026","CSU-24932",,23,"2026-06-01","LC","FC","FC-066","NE","L","Cx.","Tarsalis","F",,"8","8","Negative",0
"2026","CSU-24933",,23,"2026-06-01","LC","FC","FC-066","NE","L","Cx.","Pipiens","F",,"3","3","Negative",0
"2026","CSU-24934",,23,"2026-06-01","LC","FC","FC-019","NE","L","Cx.","Tarsalis","F",,"4","4","Negative",0
"2026","CSU-24935",,23,"2026-06-01","LC","FC","FC-034","NE","L","Cx.","Tarsalis","F",,"1","1","Negative",0
"2026","CSU-24936",,23,"2026-06-01","LC","FC","FC-006","NE","L","Cx.","Tarsalis","F",,"1","1","Negative",0
"2026","CSU-24937",,23,"2026-06-02","LC","LV","LV-110","LV","L","Cx.","Tarsalis","F",,"10","10","Negative",0
"2026","CSU-24938",,23,"2026-06-02","LC","LV","LV-110","LV","L","Cx.","Pipiens","F",,"3","3","Negative",0
"2026","CSU-24939",,23,"2026-06-02","LC","LV","LV-104","LV","L","Cx.","Tarsalis","F",,"8","8","Negative",0
