"week","vi_NW","vi_hx_NW","vi_NE","vi_hx_NE","vi_SE","vi_hx_SE","vi_SW","vi_hx_SW","vi_FC","vi_hx_FC","vi_LV","vi_BE","vi_BC"
23,"0","","0","","0","","0","","0","","0","0","0"
24,"","","","","","","","","","","","",""
25,"","","","","","","","","","","","",""
26,"","","","","","","","","","","","",""
27,"","","","","","","","","","","","",""
28,"","","","","","","","","","","","",""
29,"","","","","","","","","","","","",""
30,"","","","","","","","","","","","",""
31,"","","","","","","","","","","","",""
32,"","","","","","","","","","","","",""
33,"","","","","","","","","","","","",""
34,"","","","","","","","","","","","",""
35,"","","","","","","","","","","","",""
36,"","","","","","","","","","","","",""
37,"","","","","","","","","","","","",""
