"zone","abund_Pipiens","abund_Tarsalis","pir_Pipiens","pir_Tarsalis","vi_Pipiens","vi_Tarsalis","vi_All"
"NW",7.6667,13.7778,0.0407,0.0086,0.31,0.12,0.54
"NE",9,6.3,0,0,0,0,0
"SE",11.7333,14.8667,0.0203,0.0142,0.24,0.21,0.49
"SW",7.7778,22,0.024,0.0195,0.19,0.43,0.68
"FC",9.4186,14.1395,0.0209,0.0136,0.2,0.19,0.42
NA,NA,NA,NA,NA,NA,NA,NA
"LV",5.5,37,0,0,0,0,0
"BE",4.4,60.8,0,0.01,0,0.61,0.6
"BC",2.6,27.8,0,0.0097,0,0.27,0.29
