"zone","examined_Pipiens","examined_Tarsalis","examined_All","pool_Pipiens","pool_Tarsalis","pool_all","pos_pool_Pipiens","pos_pool_Tarsalis","pos_pool_all","pir_Pipiens","pir_Tarsalis","pir_All"
"NW",69,124,193,10,9,19,4,1,5,40.7,8.6,25.1
"NE",90,63,153,11,7,18,0,0,0,0,0,0
"SE",176,223,399,22,18,40,7,3,10,20.3,14.2,18.3
"SW",70,198,268,8,10,18,2,3,5,24,19.5,22.7
"FC",405,608,1013,51,44,95,13,7,20,20.9,13.6,17.8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LV",33,222,255,5,9,14,0,0,0,0,0,0
"BE",44,608,652,7,17,24,0,5,5,0,10,9.2
"BC",13,139,152,0,5,5,0,1,1,0,9.7,9.7
