"","trap_id","method","zone","zone2","start","end","active","location_desc","lat","long","trap_status"
"1","FC-006","L","NE","FC",2006,NA,1,"",40.592328,-105.0663,"datasheet_clean"
"2","FC-011","L","NW","FC",2006,NA,1,"",40.56948,-105.13603,"datasheet_clean"
"3","FC-023","L","SE","FC",2006,NA,1,"",40.54466,-105.0641,"datasheet_clean"
"4","FC-029","L","SE","FC",2006,NA,1,"",40.51011,-105.06935,"datasheet_clean"
"5","FC-046","L","SE","FC",2006,NA,1,"",40.52983,-105.06484,"datasheet_clean"
"6","FC-057","L","SW","FC",2006,NA,1,"",40.48439,-105.10524,"datasheet_clean"
"7","FC-063","L","NW","FC",2006,NA,1,"",40.56568,-105.10485,"datasheet_clean"
"8","FC-067","L","NE","FC",2006,NA,1,"",40.57881,-105.05592,"datasheet_clean"
"9","FC-068","L","SW","FC",2006,NA,1,"",40.516,-105.08547,"datasheet_clean"
"10","LV-069","L","LV","LV",2006,NA,1,"",40.428924,-105.05822,"datasheet_clean"
