"zone","year","week","spp","pir_old","pir_lci_old","pir_uci_old","pir_new","pir_lci_new","pir_uci_new"
"BE",2024,31,"Pipiens",0.0098,6e-04,0.0557,0.0097,6e-04,0.055
"NE",2024,32,"Pipiens",0.0152,0.0028,0.0508,0.0151,0.0028,0.0504
"NE",2024,34,"Tarsalis",0.0132,0.0025,0.0436,0.0131,0.0025,0.0433
"NE",2024,35,"Pipiens",0.0107,0.002,0.0346,0.0106,0.002,0.0343
"NE",2024,35,"All",0.018,0.0063,0.0417,0.0179,0.0063,0.0413
"FC",2024,35,"Tarsalis",0.0072,0.0013,0.0229,0.0071,0.0013,0.0228
"FC",2024,37,"Pipiens",0.0058,0.0011,0.0189,0.0057,0.001,0.0186
"SE",2025,25,"Tarsalis",0.0048,9e-04,0.0163,0.0047,8e-04,0.0162
"NE",2025,29,"Pipiens",0.0068,0.0012,0.0232,0.0067,0.0012,0.0229
"NE",2025,29,"Tarsalis",0.0104,0.0039,0.0237,0.0103,0.0039,0.0235
"FC",2025,29,"Pipiens",0.0078,0.0032,0.0162,0.0077,0.0032,0.0161
"FC",2025,31,"Pipiens",0.01,0.0045,0.0199,0.0099,0.0044,0.0198
"BE",2025,31,"All",0.0103,0.0035,0.0249,0.0102,0.0035,0.0246
"BC",2025,32,"Tarsalis",0.0194,0.0052,0.0619,0.0193,0.0052,0.0613
"BC",2025,32,"All",0.0194,0.0052,0.0619,0.0193,0.0052,0.0613
"SE",2025,33,"Pipiens",0.0203,0.009,0.0426,0.0202,0.0089,0.0425
"SE",2025,33,"All",0.0183,0.0094,0.0335,0.0182,0.0093,0.0332
"FC",2025,33,"Pipiens",0.0209,0.0116,0.0361,0.0208,0.0116,0.0358
"NE",2025,34,"Pipiens",0.0159,0.0044,0.0439,0.0158,0.0044,0.0434
"SE",2025,34,"Pipiens",0.0124,0.0033,0.0353,0.0123,0.0033,0.035
"BE",2025,34,"All",0.0132,0.0055,0.0283,0.0131,0.0054,0.0282
"FC",2025,36,"All",0.0113,0.0059,0.0199,0.0112,0.0058,0.0196
"NE",2025,37,"Pipiens",0.0093,0.0018,0.0302,0.0092,0.0018,0.0299
"NE",2025,37,"All",0.008,0.0015,0.0259,0.0079,0.0015,0.0256
