"zone","year","week","spp","pir_old","pir_lci_old","pir_uci_old","pir_new","pir_lci_new","pir_uci_new"
"BE",2020,33,"All",0.0213,0.0012,0.1153,0.0206,0.0012,0.11
"SW",2021,34,"All",0.0161,0.001,0.0728,0.0154,0.001,0.07
"FC",2022,35,"All",0.0113,0.0069,0.0178,0.0119,0.0074,0.0184
"BE",2024,28,"Pipiens",0.0185,0.0013,0.0848,0.0179,0.0012,0.0817
"NW",2025,26,"Tarsalis",0.0192,0.0013,0.0889,0.0186,0.0012,0.0858
"NW",2025,33,"All",0.0251,0.0099,0.0572,0.0245,0.0096,0.0558
"SE",2025,37,"All",0.0151,0.0028,0.0521,0.0145,0.0026,0.0498
"FC",2025,37,"Pipiens",0.0178,0.0076,0.0367,0.0172,0.0073,0.0356
"FC",2025,37,"All",0.0137,0.0057,0.0285,0.0131,0.0055,0.0273
"SW",2015,34,"Pipiens",0.0241,0.0041,0.1083,0.0236,0.004,0.1043
"NW",2017,34,"Tarsalis",0.0166,0.001,0.0882,0.0161,9e-04,0.0852
"BE",2020,31,"All",0.024,0.0015,0.1188,0.0235,0.0014,0.116
"NW",2022,36,"Pipiens",0.0173,0.0011,0.0838,0.0168,0.001,0.0811
"SW",2024,34,"All",0.0117,7e-04,0.0607,0.0112,6e-04,0.0579
"NW",2025,30,"Pipiens",0.0171,0.001,0.0966,0.0166,9e-04,0.093
"FC",2017,31,"All",0.0057,0.0032,0.0096,0.0062,0.0035,0.0101
"BE",2017,34,"All",0.0347,0.0092,0.1118,0.0343,0.0091,0.1101
"SE",2016,32,"Pipiens",0.0268,0.011,0.0625,0.0264,0.0108,0.0615
"SW",2020,35,"All",0.0165,9e-04,0.1128,0.0161,9e-04,0.1074
"LV",2021,35,"Pipiens",0.0234,0.0015,0.1264,0.023,0.0015,0.1222
"FC",2023,31,"Tarsalis",0.008,0.0049,0.0124,0.0084,0.0053,0.013
"FC",2023,31,"All",0.0105,0.0072,0.015,0.0109,0.0075,0.0154
"SE",2015,35,"Tarsalis",0.0295,0.0054,0.0953,0.0291,0.0053,0.094
"SE",2016,31,"Pipiens",0.0256,0.0109,0.0565,0.0253,0.0107,0.0558
"SE",2017,33,"Pipiens",0.0189,0.0033,0.073,0.0186,0.0033,0.0714
"SW",2020,35,"Pipiens",0.0183,0.001,0.139,0.018,0.001,0.1341
"LV",2020,36,"All",0.0195,0.0011,0.0971,0.0192,0.0011,0.0953
"SW",2021,34,"Pipiens",0.0205,0.0014,0.0914,0.0202,0.0014,0.0898
"SW",2023,31,"Pipiens",0.0176,0.001,0.1038,0.0173,9e-04,0.1016
"NE",2023,35,"Tarsalis",0.0172,9e-04,0.0971,0.0169,9e-04,0.0953
"NW",2025,36,"All",0.0164,0.003,0.0558,0.0161,0.0029,0.0544
"SE",2025,36,"All",0.02,0.0085,0.0409,0.0197,0.0084,0.0404
"NW",2015,33,"All",0.012,8e-04,0.057,0.0117,7e-04,0.0552
"NE",2015,34,"All",0.0118,0.0031,0.0341,0.0115,0.003,0.0332
"SW",2015,35,"All",0.0121,0.0022,0.0447,0.0118,0.0021,0.0433
"NW",2021,35,"Pipiens",0.0128,7e-04,0.0769,0.0125,7e-04,0.0746
"NW",2021,35,"All",0.01,5e-04,0.0566,0.0097,5e-04,0.0548
"BE",2024,34,"Pipiens",0.0076,5e-04,0.0415,0.0073,4e-04,0.0394
"SE",2024,36,"All",0.0121,0.0022,0.0395,0.0118,0.0021,0.0388
"FC",2024,36,"All",0.0129,0.0061,0.025,0.0126,0.0059,0.0244
"NE",2015,34,"Pipiens",0.0162,0.0043,0.048,0.0159,0.0042,0.0469
"SW",2015,35,"Pipiens",0.0161,0.003,0.0647,0.0158,0.0029,0.0623
"SE",2016,30,"Pipiens",0.0178,0.0059,0.045,0.0175,0.0058,0.0444
"SW",2016,32,"Pipiens",0.0174,0.0035,0.0602,0.0171,0.0034,0.0592
"SW",2022,35,"Pipiens",0.0283,0.007,0.1104,0.028,0.007,0.1085
"SW",2023,34,"Pipiens",0.0277,0.0052,0.0995,0.0274,0.0051,0.098
"NW",2025,36,"Pipiens",0.0265,0.0051,0.0918,0.0262,0.005,0.0906
"FC",2025,36,"Pipiens",0.0215,0.0117,0.037,0.0212,0.0115,0.0366
"NW",2015,34,"Pipiens",0.0182,0.0081,0.038,0.018,0.0081,0.0377
"SE",2016,34,"Pipiens",0.0165,0.0045,0.0466,0.0163,0.0045,0.0461
"SE",2016,35,"Pipiens",0.0284,0.0079,0.082,0.0282,0.0078,0.0812
"LV",2021,35,"All",0.0188,0.0034,0.0642,0.0186,0.0034,0.0636
"NW",2021,36,"Pipiens",0.0171,0.001,0.1031,0.0169,0.001,0.1007
"FC",2023,31,"Pipiens",0.0217,0.0115,0.039,0.0215,0.0114,0.0385
"NW",2024,36,"Pipiens",0.021,0.0058,0.0634,0.0208,0.0057,0.0624
"SE",2015,33,"All",0.0143,0.0058,0.0312,0.0141,0.0057,0.0306
"FC",2015,35,"Tarsalis",0.0122,0.0033,0.0324,0.012,0.0033,0.0319
"NE",2021,34,"Tarsalis",0.012,7e-04,0.0565,0.0118,7e-04,0.0559
"FC",2021,34,"Tarsalis",0.0051,3e-04,0.0244,0.0049,3e-04,0.0237
"LV",2022,33,"All",0.0091,0.0017,0.0308,0.0089,0.0016,0.0302
"LV",2023,33,"Pipiens",0.0092,6e-04,0.0519,0.009,6e-04,0.0506
"NW",2024,37,"Pipiens",0.0141,8e-04,0.0779,0.0139,8e-04,0.0768
"FC",2024,37,"All",0.005,9e-04,0.0163,0.0048,9e-04,0.0157
"FC",2025,30,"Pipiens",0.0111,0.005,0.0219,0.0109,0.0049,0.0216
"LV",2025,31,"All",0.0141,0.0039,0.0388,0.0139,0.0039,0.0384
"NW",2025,33,"Tarsalis",0.0086,5e-04,0.0468,0.0084,5e-04,0.0455
"SE",2025,33,"Tarsalis",0.0142,0.0039,0.0382,0.014,0.0038,0.0375
"BC",2025,33,"Tarsalis",0.0097,6e-04,0.0567,0.0095,6e-04,0.0549
"BC",2025,33,"All",0.0097,6e-04,0.0567,0.0095,6e-04,0.0549
