"zone","abund_Pipiens","abund_Tarsalis","pir_Pipiens","pir_Tarsalis","vi_Pipiens","vi_Tarsalis","vi_All"
"NW",8.1111,2.1111,0.0033,0.0535,0.03,0.11,0.06
"NE",23.4,5,0.0059,0.0196,0.14,0.1,0.22
"SE",7.6667,2.0667,0.0042,0,0.03,0,0.04
"SW",4.3333,0.5556,0,0,0,0,0
"FC",10.7209,2.4419,0.0042,0.0194,0.05,0.05,0.08
NA,NA,NA,NA,NA,NA,NA,NA
"LV",0,0,0,0,0,0,0
"BE",0,0,0,0,0,0,0
"BC",7.087,0.8261,0,0,0,0,0
