"zone","examined_Pipiens","examined_Tarsalis","examined_All","pool_Pipiens","pool_Tarsalis","pool_all","pos_pool_Pipiens","pos_pool_Tarsalis","pos_pool_all","pir_Pipiens","pir_Tarsalis","pir_All"
"NW",71,92,163,13,7,20,0,0,0,0,0,0
"NE",173,250,423,23,13,36,1,0,1,1.5,0,1.1
"SE",132,294,426,17,16,33,1,0,1,3.5,0,1.7
"SW",24,26,50,9,6,15,0,0,0,0,0,0
"FC",400,662,1062,NA,NA,NA,NA,NA,NA,1.7,0,1.1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LV",15,237,252,3,9,12,0,1,1,0,4.1,3.9
"BE",81,1039,1120,8,26,34,0,3,3,0,3,2.8
"BC",60,166,226,0,5,5,0,0,0,0,0,0
