"zone","abund_Pipiens","abund_Tarsalis","pir_Pipiens","pir_Tarsalis","vi_Pipiens","vi_Tarsalis","vi_All"
"NW",7.8889,10.2222,0,0,0,0,0
"NE",17.3,25,0.0015,0,0.03,0,0.05
"SE",9.4286,21,0.0035,0,0.03,0,0.05
"SW",3,3.25,0,0,0,0,0
"FC",9.7561,16.1463,0.0017,0,0.02,0,0.03
NA,NA,NA,NA,NA,NA,NA,NA
"LV",2.5,39.5,0,0.0041,0,0.16,0.16
"BE",9,115.4444,0,0.003,0,0.35,0.35
"BC",2.6087,7.2174,0,0,0,0,0
