"","trap_id","method","zone","zone2","start","end","active","location_desc","lat","long","trap_status"
"1","BC-24","L","BC","BC",2021,NA,1,"",40.0688,-105.247,"datasheet_clean"
"2","FC-001","L","SW","FC",2006,NA,1,"",40.49087,-105.08257,"datasheet_clean"
"3","FC-006","L","NE","FC",2006,NA,1,"",40.592328,-105.0663,"datasheet_clean"
"4","FC-011","L","NW","FC",2006,NA,1,"",40.56948,-105.13603,"datasheet_clean"
"5","FC-023","L","SE","FC",2006,NA,1,"",40.54466,-105.0641,"datasheet_clean"
"6","FC-031","L","SE","FC",2006,NA,1,"",40.50609,-105.03942,"datasheet_clean"
"7","FC-040GR","G","NE","FC",2006,NA,1,"",40.60326,-105.06553,"datasheet_clean"
"8","FC-041","L","NW","FC",2006,NA,1,"",40.58794,-105.10486,"datasheet_clean"
"9","FC-052","L","NW","FC",2006,NA,1,"",40.56163,-105.08703,"datasheet_clean"
"10","FC-057","L","SW","FC",2006,NA,1,"",40.48439,-105.10524,"datasheet_clean"
"11","FC-059","L","SE","FC",2006,NA,1,"",40.5426,-105.04604,"datasheet_clean"
"12","FC-060","L","NW","FC",2006,NA,1,"808 Ponderosa",40.5487,-105.12019,"datasheet_clean"
"13","FC-062","L","SW","FC",2006,NA,1,"",40.54278,-105.08741,"datasheet_clean"
"14","FC-063","L","NW","FC",2006,NA,1,"",40.56568,-105.10485,"datasheet_clean"
"15","FC-064","L","SE","FC",2006,NA,1,"",40.49868,-105.0298,"datasheet_clean"
"16","FC-066GR","G","NE","FC",2006,NA,1,"",40.55873,-105.02318,"datasheet_clean"
"17","FC-068","L","SW","FC",2006,NA,1,"",40.516,-105.08547,"datasheet_clean"
"18","FC-071","L","SW","FC",2006,NA,1,"",40.52733,-105.10821,"datasheet_clean"
"19","FC-091GR","G","NE","FC",2006,NA,1,"",40.57052,-105.05457,"datasheet_clean"
"20","LC-001","L","BE","BE",2017,NA,1,"",40.302587,-105.08406,"datasheet_clean"
"21","LC-053","L","BE","BE",2017,NA,1,"",40.320553,-105.09457,"datasheet_clean"
"22","LC-058","L","BE","BE",2024,NA,1,"",40.3082833,-105.09688,"datasheet_clean"
"23","LC-059","L","BE","BE",2024,NA,1,"",40.2931157,-105.08463,"datasheet_clean"
"24","LC-060","L","BE","BE",2024,NA,1,"",40.3031963,-105.06938,"datasheet_clean"
"25","LC-062","L","BE","BE",2024,NA,1,"",40.3439276,-105.11628,"datasheet_clean"
"26","WC-055","L","BE","BE",2017,NA,1,"",40.2891835,-104.99154,"datasheet_clean"
